structureNumber,flowChartResult,randomForest,NDOTResult
C002024235,No,,No,
C002024240,Yes,,No,
C002024320,Yes,,No,
C002033910,No,,No,
C002033915,Yes,,No,
C002100405P,No,,No,
C002101305,Yes,,,
C002101305P,Yes,,,
C002102105P,Yes,,No,
C002102205P,Yes,,No,
C002102305,Yes,,,
C002102305P,Yes,,,
C002102310P,Yes,,No,
C002102405,Yes,,,
C002103101P,Yes,,,
C002103105P,Yes,,,
C002103110P,Yes,,,
C002103305P,Yes,,,
C002103505P,Yes,,No,
C002104205P,Yes,,No,
C002104805,Yes,,No,
C002105503,Yes,,,
C002105605,Yes,,No,
C002105905,Yes,,No,
C002106105P,No,,No,
C002106605P,Yes,,No,
C002106910,Yes,,No,
C002106915P,Yes,,,
C002107105,Yes,,,
C002107113P,Yes,,,
C002107115P,Yes,,,
C002107120P,Yes,,,
C002107125P,Yes,,,
C002107305P,Yes,,No,
C002107505,Yes,,No,
C002107505P,Yes,,,
C002107510P,Yes,,,
C002107805P,Yes,Yes,No,
C002107905P,Yes,,No,
C002107915P,Yes,,No,
C002108105,Yes,,,
C002108105P,Yes,,,
C002108205,Yes,,,
C002108505,No,,No,
C002108705,Yes,,,
C002109105P,Yes,,,
C002109115,Yes,,No,
C002109305P,Yes,No,No,
C002109310P,No,,No,
C002109405P,Yes,,,
C002109505P,Yes,No,No,
C002110805,No,,No,
C002111805,No,,No,
C002112105,Yes,,No,
C002112410,Yes,,,
C002113310,Yes,,,
C002113315,No,,No,
C002113705,Yes,,,
C002114905,Yes,,,
C002114910,Yes,,No,
C002114915,Yes,,No,
C002115005,Yes,,No,
C002115010,Yes,,No,
C002115315,Yes,,No,
C002115405,Yes,,No,
C002116005P,No,,No,
C002116415,Yes,,,
C002116420,Yes,,No,
C002116425,Yes,No,No,
C002116505,Yes,,,
C002116510,Yes,,No,
C002116705,No,,No,
C002117111,Yes,,No,
C002117130P,Yes,,No,
C002117205P,Yes,,No,
C002117305,No,,No,
C002117520,Yes,,No,
C002117710,No,,No,
C002118210,Yes,,,
C002119005,Yes,,,
C002119010P,No,,No,
C002119205,Yes,,,
C002119210,No,,No,
C002121405,No,,No,
C002121410,Yes,,,
C002121415,Yes,,,
C002121605P,Yes,,Yes,
C002121610,Yes,,No,
C002122510,Yes,,No,
C002122705P,Yes,,No,
C002123505,Yes,,Yes,
C002123905,No,,No,
C002123910,Yes,,No,
C002124510,Yes,,No,
C002124810,Yes,,,
C002124815,Yes,,,
C002124820,No,,No,
C002124825,Yes,,,
C002124830,Yes,,,
C002124905P,Yes,,No,
C002125205,Yes,,No,
C002125505,No,,No,
C002125605P,Yes,,No,
C002126305P,No,,No,
C002126710,Yes,,No,
C002126810,Yes,,,
C002127115,No,,No,
C002127210P,No,,No,
C002127912P,Yes,,,
C002127913P,Yes,,No,
C002128005,Yes,,No,
C002128710,No,,No,
C002128910,Yes,,,
C002129710,No,,No,
C002131310,Yes,,No,
C002131905,Yes,Yes,Yes,
C002133805P,Yes,,,
C002134305,Yes,,No,
C002134840,Yes,,No,
C002135620,No,,No,
C002135805,No,,No,
C002136005,Yes,,No,
C002136010P,No,,No,
C002136610P,Yes,,No,
C002137403,Yes,,Yes,
C002137405,Yes,,,
C002137725,Yes,,,
C002137905,Yes,,No,
C002138115,Yes,,No,
C002138305,Yes,,No,
C002138405,Yes,,,
C002138605,No,,No,
C002139405,Yes,,,
C002139425P,Yes,,No,
C002139515,Yes,,No,
C002139605P,Yes,,No,
C002141615,Yes,,,
C002142905P,Yes,,No,
C002143005,Yes,,No,
C002143510,Yes,,No,
C002143515,Yes,,No,
C002144105,No,,No,
C002144205,No,,Yes,
C002145410,No,,No,
C002145415,No,,No,
C002145420,No,,No,
C002145425,Yes,,No,
C002145510,Yes,,No,
C002145515,Yes,,No,
C002145520,No,,No,
C002146125,No,,No,
C002146435,Yes,,No,
C002146805,Yes,Yes,No,
C002146805P,No,,Yes,
C002146925,Yes,,No,
C002147620P,Yes,,No,
C002147810,Yes,,No,
C002148120,No,,No,
C002148305P,No,,No,
C002148715,Yes,,,
C002148810,Yes,,No,
C002148920,Yes,,No,
C002149410,No,,Yes,
C002149415,No,,No,
C002149420,No,,No,
C002149425,No,,No,
C002149525,Yes,,No,
C002149610,Yes,,No,
C002154210,Yes,,,
C002154405,Yes,,,
C002154410,Yes,,,
C002154615,No,,No,
C002154620,No,,No,
C002155320,Yes,,,
C002155810,Yes,,,
C002155815,Yes,,No,
C002156135,No,,No,
C002156720,No,Yes,No,
C002157005,Yes,,No,
C002157205P,No,,No,
C002157605,No,,No,
C002157730,Yes,,No,
C002157805,Yes,,,
C002158010P,No,,No,
C002158415,Yes,,,
C002158430,Yes,,No,
C002158510,No,,No,
C002158615P,No,,No,
C002159010,Yes,,No,
C002159430,No,,No,
C002161615P,Yes,,,
C002162010,No,,No,
C002164830P,Yes,,No,
C002165005P,No,,No,
C002165010P,No,,No,
C002165015P,No,,Yes,
C002165440,Yes,No,No,
C002166605,Yes,,,
C002167205,No,,No,
C002167425,No,Yes,No,
C002167530,No,,No,
C002168705P,No,,No,
C002168925,Yes,,No,
C002169545,No,,No,
C002175820,No,,No,
C002176010,Yes,,No,
C002176205,No,,No,
C002177210,No,,No,
C002186210,Yes,,No,
C002188805,Yes,,No,
C002200110,No,,No,
C002200115,No,,No,
C002200125,No,,No,
C002200302,No,No,No,
C002200305P,No,,No,
C002200320,No,,No,
C002201005P,No,,No,
C002201010P,No,,No,
C002201105P,Yes,,No,
C002201405,Yes,,Yes,
C002201710P,No,,No,
C002201805,No,,No,
C002201905,Yes,No,No,
C002202405,Yes,,,
C002202510P,Yes,,No,
C002202515P,Yes,,No,
C002202805,Yes,,No,
C002203005,No,,,
C002203010,Yes,,No,
C002203105,Yes,,No,
C002203110,No,,No,
C002203610,No,,No,
C002210810P,Yes,,No,
C002211505,No,,No,
C002211510P,Yes,,,
C002211705P,No,,No,
C002211805P,Yes,,,
C002212005,No,,No,
C002212105P,Yes,,,
C002212205,Yes,,No,
C002212405P,No,Yes,Yes,
C002213410P,Yes,,No,
C002220710,Yes,,No,
C002220715,Yes,,No,
C002221703,No,,,
C002221710,Yes,No,No,
C002221715P,No,,Yes,
C002222705,Yes,,No,
C002230315P,No,,No,
C002230725,No,,No,
C002230910P,Yes,,No,
C002232220,No,,No,
C002250510,No,,No,
C002250515,Yes,,No,
C002300505,No,,Yes,
C002300905,Yes,,No,
C002301205,Yes,,No,
C002301705,Yes,,,
C002301905,No,,No,
C002302605,Yes,,No,
C002302705,No,,Yes,
C002303005,Yes,,No,
C002303405,No,,No,
C002303405P,No,,Yes,
C002303805,No,,No,
C002304005,Yes,,,
C002304225,Yes,,,
C002304510P,Yes,Yes,Yes,
C002304515P,Yes,,No,
C002304610P,Yes,,No,
C002304805P,Yes,,No,
C002304905P,No,,No,
C002305205P,No,,Yes,
C002305905,Yes,,Yes,
C002305920P,Yes,,No,
C002306405P,No,,No,
C002307805P,Yes,,No,
C002310905P,Yes,,No,
C002311105P,Yes,,No,
C002312510,Yes,,No,
C002312610P,Yes,,No,
C002312630,Yes,,,
C002313015,Yes,,No,
C002313205,No,Yes,No,
C002313410,Yes,,No,
C002314405,No,,No,
C002314410,Yes,,Yes,
C002314705P,Yes,,Yes,
C002315110,Yes,,No,
C002315115,Yes,,No,
C002315210,Yes,,No,
C002316105P,Yes,,No,
C002316110P,Yes,,No,
C002316705,Yes,,,
C002322210,Yes,,No,
C002322415,Yes,,No,
C002322420,Yes,,No,
C002322510P,Yes,,No,
C002322515,No,,Yes,
C002322615P,Yes,,No,
C002322905,Yes,Yes,Yes,
C002323505,Yes,,No,
C002324305,Yes,,Yes,
C002332110,Yes,,Yes,
C002335705,Yes,,Yes,
C002400215,Yes,,,
C002400505,Yes,,,
C002400505P,Yes,,No,
C002400510P,Yes,,,
C002400603,Yes,,Yes,
C002400604,Yes,,,
C002400810,Yes,,,
C002400903P,Yes,,No,
C002400905P,Yes,,,
C002401003,Yes,,,
C002401005,Yes,,,
C002401205,Yes,,,
C002401303,No,,No,
C002401307,Yes,,,
C002401405,No,,No,
C002401407,Yes,,,
C002401410,No,,No,
C002401603,Yes,,,
C002401605,Yes,,,
C002401810P,Yes,,,
C002402105,Yes,,No,
C002402405,Yes,,,
C002402405P,Yes,,No,
C002402805,Yes,,,
C002402810,Yes,,No,
C002402903,Yes,,No,
C002403503,No,,No,
C002404110P,Yes,,No,
C002404405P,Yes,,,
C002404605,Yes,,No,
C002404703,No,,No,
C002404705,Yes,,No,
C002404805,Yes,,,
C002405005,Yes,Yes,Yes,
C002405510P,Yes,,,
C002405703,Yes,Yes,No,
C002405705,Yes,,Yes,
C002405905,Yes,,No,
C002405910,No,,No,
C002406105,Yes,,No,
C002406105P,No,Yes,No,
C002406305,No,,No,
C002406310,No,Yes,No,
C002406310P,Yes,,Yes,
C002406505,Yes,,No,
C002406505P,Yes,,No,
C002406510,Yes,,Yes,
C002406705,Yes,,No,
C002406710,Yes,,No,
C002406905,Yes,No,No,
C002406910,Yes,,No,
C002407105,No,,No,
C002407110,Yes,No,No,
C002407305,Yes,,No,
C002407305P,No,,No,
C002407315,Yes,,,
C002407320,Yes,,No,
C002407325,No,,No,
C002407505,Yes,,No,
C002407505P,Yes,,Yes,
C002407510P,Yes,,,
C002407705,Yes,,No,
C002407905,Yes,,,
C002407910,Yes,,No,
C002408105,Yes,,,
C002408110,Yes,No,No,
C002408305,No,,No,
C002408305P,Yes,,No,
C002408505,Yes,,,
C002410605,No,,Yes,
C002410808,Yes,,,
C002410810,Yes,,,
C002411205P,Yes,,No,
C002411310,Yes,,,
C002411315,No,,No,
C002411320,Yes,,,
C002411705,Yes,No,No,
C002411710,Yes,,,
C002411715,No,,No,
C002411805,Yes,,,
C002411810,Yes,,,
C002412005,Yes,,,
C002412010,Yes,,,
C002412015,Yes,,,
C002412025,Yes,,No,
C002412035,Yes,,No,
C002412110,Yes,,,
C002412115,No,,No,
C002412202,Yes,,,
C002412203,Yes,,,
C002412410,Yes,,,
C002412525,Yes,,,
C002412802,Yes,,,
C002412815,Yes,,,
C002412820,Yes,,,
C002412825,Yes,,,
C002412910,No,,No,
C002412920,Yes,,,
C002413005,Yes,,No,
C002413010,Yes,,No,
C002413015,Yes,,No,
C002413105,No,,Yes,
C002413210,Yes,,No,
C002413305,Yes,,No,
C002413310,No,,No,
C002413315,No,,No,
C002413404,No,,No,
C002413405,No,,No,
C002413505,Yes,,No,
C002413705,Yes,,No,
C002413905,No,,No,
C002413906,Yes,,No,
C002414005,Yes,,No,
C002414010,Yes,,No,
C002414103,No,Yes,No,
C002414105,No,,No,
C002414210,No,,No,
C002414303,No,,No,
C002414305,Yes,,,
C002414310,No,No,No,
C002414510,No,,No,
C002414515,No,,No,
C002414520,No,No,No,
C002414525,No,,Yes,
C002414810,Yes,,No,
C002414904,Yes,,No,
C002414905,Yes,,,
C002415505,Yes,,No,
C002416110,Yes,,No,
C002416520,Yes,Yes,No,
C002416915,Yes,,No,
C002417710,Yes,,No,
C002417915,Yes,,No,
C002418120,No,,Yes,
C002420105,No,,Yes,
C002420110,Yes,,,
C002420905,No,,No,
C002420910,Yes,,,
C002421010,Yes,,,
C002421015,Yes,,Yes,
C002421020,Yes,,,
C002421107,Yes,,,
C002421110,Yes,,,
C002421115,Yes,,,
C002421210,Yes,,,
C002421505,Yes,,,
C002421507,Yes,,,
C002421510,No,,No,
C002422310,Yes,,,
C002422610,No,Yes,No,
C002422615,No,,No,
C002422620,Yes,,Yes,
C002422625,No,,No,
C002422710,Yes,,,
C002422713,Yes,,,
C002422715,Yes,,,
C002423020,Yes,Yes,No,
C002423025,No,,No,
C002423035,Yes,,,
C002423110,No,,No,
C002423115,Yes,,No,
C002423120,Yes,,,
C002423225,Yes,,,
C002423415,No,,No,
C002423425,Yes,,,
C002423605,Yes,,,
C002424405,No,,No,
C002425305,Yes,,,
C002425310,Yes,,No,
C002427715,No,,No,
C002427720,No,,No,
C002430115,No,,No,
C002430410,Yes,,Yes,
C002431905,Yes,,,
C002431910,Yes,,,
C002432640,Yes,,,
C002433805,Yes,,,
C002433810,Yes,Yes,No,
C002433815,Yes,Yes,No,
C002433820,Yes,,No,
C002434010,Yes,,,
C002434020,Yes,,No,
C002434213,Yes,,No,
C002434410,Yes,,No,
C002434815,No,,No,
C002434820,Yes,,No,
C002435005P,Yes,Yes,No,
C002436120,No,Yes,Yes,
C002443825,No,,No,
C002444215,No,,No,
C002444610,Yes,,Yes,
C002445020,No,,No,
C002445035,Yes,,,
C002454025,Yes,,No,
C002501505,Yes,,,
C002501805P,Yes,,,
C002502105,Yes,,No,
C002503220,Yes,,,
C002503230,No,,,
C002503505,Yes,,,
C002504505P,No,,No,
C002504705,No,,No,
C002504905,No,,No,
C002505105,No,,No,
C002505505,No,Yes,Yes,
C002505705,No,,No,
C002510705,Yes,,Yes,
C002511705,No,,Yes,
C002520905,Yes,,Yes,
C002525510,Yes,,No,
C002543010,Yes,,No,
C002600210P,No,,Yes,
C002600305,No,,No,
C002600305P,Yes,No,No,
C002600405,Yes,,No,
C002600505,No,,No,
C002600510,Yes,,No,
C002600515,Yes,No,No,
C002600605P,No,,Yes,
C002600805P,No,,No,
C002601105,Yes,,No,
C002601305P,Yes,,No,
C002601310,No,,No,
C002601510P,Yes,,No,
C002601710,Yes,,No,
C002602025P,No,,No,
C002602030P,No,,No,
C002602305,No,,No,
C002602410,Yes,,Yes,
C002602505,No,,No,
C002602510P,Yes,,No,
C002602520P,No,,No,
C002602605,Yes,,No,
C002602620P,No,,No,
C002602710,Yes,,No,
C002602715,Yes,,No,
C002602905,Yes,,No,
C002602905P,Yes,,No,
C002602910,No,,Yes,
C002602910P,No,,No,
C002602920P,Yes,,No,
C002603105,Yes,,Yes,
C002603205,No,,No,
C002603230P,Yes,,Yes,
C002603305P,No,,No,
C002603310P,Yes,,No,
C002603405,Yes,,No,
C002603605P,Yes,,No,
C002603705,No,,No,
C002603805P,No,,No,
C002604005,No,,No,
C002604205,Yes,,No,
C002604210,No,,Yes,
C002604215,Yes,,,
C002604220,No,,No,
C002605005P,No,,No,
C002605205,No,,Yes,
C002605210,Yes,,No,
C002605215,Yes,,No,
C002605805,Yes,,No,
C002605810,Yes,,No,
C002606005,Yes,,No,
C002606010,No,,No,
C002606020,Yes,,No,
C002606203,Yes,,Yes,
C002606205,Yes,,No,
C002606215,Yes,,No,
C002606220,No,,No,
C002606405,Yes,No,No,
C002610120,Yes,,No,
C002610205,Yes,,No,
C002610310,Yes,,No,
C002610410,No,,No,
C002611125,No,No,No,
C002611500,Yes,,,
C002611515,Yes,,No,
C002611710P,Yes,,No,
C002611715,No,,No,
C002611730P,Yes,,Yes,
C002611910,Yes,,No,
C002612305P,Yes,,No,
C002612405P,No,,No,
C002612510P,Yes,,,
C002612705P,No,,No,
C002612915P,Yes,,No,
C002613010P,Yes,,No,
C002613015,Yes,,No,
C002613020,Yes,,No,
C002613810P,Yes,No,No,
C002614030,Yes,,No,
C002615015,Yes,,Yes,
C002615220,Yes,,No,
C002615405,Yes,,No,
C002615415,Yes,,,
C002615605,No,,No,
C002615620,Yes,,No,
C002615825,Yes,,No,
C002620713,No,,No,
C002620725,Yes,,No,
C002620930,No,,No,
C002620940,Yes,,No,
C002621130,Yes,,No,
C002621520P,Yes,,No,
C002621525P,Yes,,No,
C002621735P,No,,No,
C002621915,No,,No,
C002621925,No,,No,
C002621935,No,,No,
C002622325P,Yes,,No,
C002622515,Yes,,Yes,
C002622530,Yes,,No,
C002623815,Yes,,No,
C002631340,No,,No,
C002631525,No,,No,
C002631530,No,,No,
C002631720,Yes,,No,
C002631825P,Yes,No,No,
C002632730,No,,No,
C002634605,Yes,Yes,No,
C002641530P,Yes,,No,
C002642120,Yes,,No,
C002700105,Yes,,No,
C002700115,Yes,,No,
C002700117,Yes,,No,
C002700120,Yes,No,No,
C002700205P,No,,No,
C002700210P,Yes,,No,
C002700305,Yes,,No,
C002700310,Yes,,,
C002700315,No,,No,
C002700325,Yes,,No,
C002700327,No,,No,
C002700330,Yes,,No,
C002700405,Yes,No,No,
C002700407,No,,,
C002700410,Yes,,No,
C002700505,Yes,,No,
C002700510,No,,No,
C002700515,Yes,,No,
C002700520,Yes,,No,
C002700522,No,,No,
C002700524,Yes,,No,
C002700525,Yes,No,No,
C002700530,No,No,No,
C002700610,Yes,,No,
C002700625P,Yes,,No,
C002700705,Yes,,No,
C002700710,No,,No,
C002700720,Yes,,No,
C002700725,Yes,,No,
C002700730,Yes,,No,
C002700735,Yes,,No,
C002700740,Yes,,No,
C002700805,Yes,,No,
C002700807,Yes,,No,
C002700810,Yes,,,
C002700905,Yes,,No,
C002700910,Yes,,No,
C002700915,No,,No,
C002700920,Yes,,No,
C002700923,Yes,No,No,
C002700925,Yes,,No,
C002700930,Yes,,No,
C002700935,Yes,,,
C002700940,Yes,,No,
C002701005,Yes,,No,
C002701010,Yes,,No,
C002701015,No,,No,
C002701105,Yes,,No,
C002701110,Yes,No,No,
C002701115,No,,No,
C002701120,Yes,,No,
C002701125,Yes,,No,
C002701130,Yes,No,No,
C002701135,Yes,,No,
C002701140,Yes,No,No,
C002701205,No,,No,
C002701210,No,,No,
C002701220,Yes,,No,
C002701225,Yes,,No,
C002701230,No,,No,
C002701235,Yes,No,No,
C002701240,Yes,,No,
C002701305,Yes,,No,
C002701310,Yes,No,No,
C002701315,Yes,,No,
C002701405,Yes,,No,
C002701410,Yes,,,
C002701415,Yes,,No,
C002701420,Yes,,No,
C002701425,No,,No,
C002701505,Yes,,No,
C002701510,Yes,No,No,
C002701515,Yes,,No,
C002701605,Yes,,No,
C002701610,Yes,,No,
C002701615,Yes,,No,
C002701705,Yes,,No,
C002701710,Yes,,No,
C002701715,Yes,,No,
C002701720,Yes,,No,
C002701725,Yes,,No,
C002701730,Yes,,No,
C002701735,Yes,,No,
C002701740,Yes,,No,
C002701805,Yes,,No,
C002701808,Yes,,No,
C002701810,No,,No,
C002701815,Yes,,No,
C002701820,No,,No,
C002701905,Yes,,No,
C002701910,Yes,,No,
C002701915,Yes,,No,
C002701920,Yes,No,No,
C002701925,Yes,,No,
C002701930,Yes,,No,
C002701935,Yes,,No,
C002701940,Yes,,No,
C002701942,Yes,,No,
C002701945,Yes,,No,
C002701950,No,,No,
C002701955,Yes,,No,
C002702009,Yes,,No,
C002702010,Yes,,No,
C002702015,Yes,,No,
C002702020,Yes,,No,
C002702105,Yes,,No,
C002702110,Yes,,No,
C002702115,Yes,,No,
C002702120,Yes,,No,
C002702125,No,,No,
C002702130,No,,No,
C002702135,Yes,,No,
C002702145,No,,No,
C002702150,No,,No,
C002702205,Yes,,No,
C002702210,Yes,,No,
C002702215,Yes,,No,
C002702220,Yes,,No,
C002702225,Yes,,No,
C002702305,No,,No,
C002702305P,No,,No,
C002702310,Yes,,No,
C002702405,No,,No,
C002702410,Yes,,No,
C002702505P,Yes,,No,
C002702510,Yes,,No,
C002702510P,No,,No,
C002702515,No,,No,
C002702605,Yes,,No,
C002702705P,Yes,,No,
C002702805,Yes,,No,
C002702810,No,,No,
C002702905P,Yes,,No,
C002703105,No,,No,
C002703110,Yes,No,No,
C002703305,Yes,,No,
C002703310,Yes,,No,
C002703315,Yes,,No,
C002703405,Yes,,No,
C002703503,Yes,,No,
C002703505,Yes,,No,
C002703510,Yes,,No,
C002703515,No,,No,
C002703605,Yes,,No,
C002703610,Yes,No,No,
C002703615,Yes,,No,
C002703705,Yes,,No,
C002703710,Yes,,No,
C002703710P,Yes,,Yes,
C002703715P,Yes,,No,
C002703720,Yes,,No,
C002703725,Yes,,No,
C002703805,Yes,,No,
C002703815,Yes,,No,
C002703817,No,,No,
C002703820,No,,No,
C002703905,Yes,,No,
C002703907,No,No,No,
C002703910,Yes,,No,
C002704010,Yes,,No,
C002704015,Yes,,No,
C002704020,Yes,,No,
C002704205,No,,No,
C002704205P,No,,No,
C002704210P,Yes,,No,
C002704405,Yes,,No,
C002704605,Yes,,No,
C002704605P,Yes,,No,
C002704610,Yes,,No,
C002704615,Yes,,No,
C002704710,Yes,,No,
C002704910,Yes,,No,
C002705105,No,,,
C002705110,Yes,,No,
C002705115,Yes,,No,
C002705120,Yes,,No,
C002705503,No,,No,
C002705505,Yes,No,No,
C002705705,Yes,,No,
C002705710,Yes,,No,
C002705905,Yes,,No,
C002705910,Yes,,No,
C002710215,No,,No,
C002710235,No,No,No,
C002710240,Yes,,,
C002710335,Yes,,No,
C002710420,Yes,,,
C002710425,No,,No,
C002710430,Yes,,No,
C002710435,Yes,,No,
C002710440,Yes,,No,
C002710625,Yes,,No,
C002711020,No,,No,
C002711030,Yes,,No,
C002711340,Yes,,No,
C002711345,Yes,,No,
C002711350,No,No,No,
C002711435,No,,No,
C002711605P,Yes,,No,
C002712710,Yes,,No,
C002712715,Yes,,No,
C002712720,No,,No,
C002712905,No,No,No,
C002713210,Yes,,No,
C002713215,Yes,,No,
C002713415,Yes,,,
C002713520,Yes,,No,
C002713525,Yes,,No,
C002713530,Yes,,No,
C002713535,Yes,,No,
C002713720,No,,No,
C002713725,No,,No,
C002713908,Yes,,No,
C002713910,No,,No,
C002713915,No,,No,
C002713920,Yes,,No,
C002714025,Yes,,No,
C002714110,Yes,,No,
C002714115P,Yes,No,No,
C002714205P,No,,No,
C002714505,Yes,,,
C002714507,Yes,,No,
C002714510,No,,No,
C002714715,Yes,,No,
C002714717,Yes,,No,
C002714720,Yes,,No,
C002714725,Yes,,No,
C002714905,Yes,,No,
C002720630,Yes,,No,
C002720635,Yes,,No,
C002721035,Yes,,No,
C002721040,Yes,,No,
C002721520,No,,No,
C002721525,Yes,,No,
C002721527,Yes,,No,
C002721530,Yes,,No,
C002721535,No,,No,
C002721540,No,,No,
C002723120,Yes,,No,
C002724505P,Yes,,No,
C002724510P,Yes,,No,
C002724710P,Yes,,No,
C002724735,No,,No,
C002724740,Yes,,No,
C002724745,Yes,,No,
C002730640,No,,No,
C002730645,Yes,,No,
C002731620,Yes,,Yes,
C002731625,Yes,,Yes,
C002731825,Yes,,No,
C002731830,No,,No,
C002732025,No,,No,
C002732030,No,,No,
C002733930,Yes,,No,
C002740815,No,,No,
C002740818,Yes,,No,
C002744120,Yes,,No,
C002750830,Yes,,No,
C002800205P,No,,No,
C002800403,Yes,,,
C002800405,Yes,,No,
C002800410,Yes,,No,
C002800420P,No,,No,
C002800605,Yes,,No,
C002800610,No,,No,
C002800805,Yes,,No,
C002800810,Yes,,No,
C002801005,No,,No,
C002801010,Yes,,No,
C002801105,Yes,,No,
C002801105P,No,,No,
C002801205P,Yes,,,
C002801403P,Yes,,,
C002801505,No,,No,
C002801510,Yes,,No,
C002801515,Yes,,No,
C002801520,Yes,,No,
C002801525,No,,No,
C002801605,Yes,,,
C002801610,Yes,,,
C002801615,Yes,,,
C002801705,No,,No,
C002801710,No,,No,
C002801715,Yes,,No,
C002801720,Yes,,No,
C002801725,Yes,,No,
C002801730,No,,No,
C002801735,Yes,,No,
C002801805,Yes,,,
C002801905,Yes,,No,
C002802005,Yes,,,
C002802205,Yes,,,
C002802210,Yes,,,
C002802460P,Yes,,,
C002802470P,Yes,,,
C002802480P,Yes,,,
C002802490P,Yes,,,
C002802495P,Yes,,,
C002802505P,Yes,,,
C002802705P,No,,No,
C002802710P,Yes,,No,
C002802805,No,,Yes,
C002802810,No,,No,
C002802850P,Yes,,,
C002802903P,Yes,,,
C002802905P,Yes,,,
C002803105,Yes,,,
C002805104P,No,,No,
C002810205,Yes,,,
C002810210,Yes,,No,
C002810405P,Yes,,No,
C002810615,No,,No,
C002811205,Yes,,,
C002811210,Yes,,,
C002811305,Yes,,,
C002811308,Yes,,,
C002811310,Yes,,No,
C002811805P,Yes,,No,
C002812105,Yes,,,
C002812303,Yes,,,
C002812305,Yes,,,
C002812605,Yes,,No,
C002812610,Yes,,No,
C002812901P,Yes,,,
C002812903P,Yes,,,
C002812905,Yes,,,
C002812910,Yes,,No,
C002813115P,Yes,,,
C002813140,Yes,,No,
C002813145,Yes,,No,
C002813307P,Yes,,,
C002813310,Yes,,,
C002813311P,Yes,,,
C002813313P,Yes,,,
C002813315,Yes,,,
C002813320,Yes,,No,
C002813715P,No,,No,
C002813720P,Yes,,,
C002813725P,Yes,,,
C002814520P,Yes,,,
C002815305,Yes,,,
C002820255,Yes,,No,
C002820265,Yes,,,
C002820410P,Yes,,,
C002820420,No,,,
C002820422,Yes,,,
C002820424,Yes,,,
C002820426,Yes,,,
C002820815,Yes,,,
C002821015,Yes,,,
C002821020,No,,No,
C002821025,Yes,,No,
C002821025P,Yes,,,
C002821035,No,,No,
C002821405,Yes,,No,
C002821410,Yes,,,
C002821413P,Yes,,,
C002821415,Yes,,No,
C002821815,No,,No,
C002822613,Yes,,,
C002822615,Yes,,,
C002824105,Yes,,,
C002830825,Yes,,No,
C002831205P,Yes,,No,
C002831210,No,,No,
C002831210P,Yes,,,
C002841205P,No,,,
C002841207P,No,,,
C002841210P,Yes,,,
C002841212P,Yes,,,
C002841215P,Yes,,,
C002841220P,Yes,,,
C002843315P,Yes,,,
C002900905,Yes,,,
C002901305P,Yes,,No,
C002902105,Yes,,No,
C002902505,Yes,,No,
C002903505P,Yes,,,
C002903705,Yes,,No,
C002904410P,Yes,,,
C002904415P,Yes,,,
C002904705,Yes,,No,
C002904805,Yes,,No,
C002905005,Yes,,No,
C002905010,Yes,,,
C002907105,Yes,,No,
C002914807P,Yes,,,
C002914810P,Yes,,,
C002917110,Yes,,No,
C002917305,No,,No,
C002917330,Yes,,,
C002917510,Yes,,No,
C002917705,Yes,,No,
C002922005,Yes,,No,
C002924402,Yes,,No,
C002924403,Yes,,No,
C002924405,Yes,,,
C002924410P,Yes,,No,
C003000110,Yes,,No,
C003000205,Yes,,No,
C003000305,No,,No,
C003000310,Yes,,,
C003000312,Yes,,,
C003000315,Yes,,No,
C003000405,Yes,,No,
C003000505,Yes,,,
C003000510,Yes,,No,
C003000605,Yes,,No,
C003000610,Yes,,No,
C003000615,Yes,,,
C003000705,Yes,,,
C003000710,Yes,,,
C003000715,Yes,,No,
C003000805,Yes,,No,
C003000810,Yes,,,
C003000815,No,,No,
C003000815P,Yes,,No,
C003000820,No,,No,
C003000825,Yes,,,
C003001005,Yes,,No,
C003001105,Yes,,,
C003001115,Yes,,No,
C003001120,Yes,,No,
C003001121,Yes,,,
C003001122,Yes,,,
C003001123,No,,No,
C003001125,Yes,,,
C003001305,Yes,,,
C003001310,No,,No,
C003001315,Yes,,No,
C003001320,Yes,,,
C003001325,Yes,,No,
C003001405,Yes,,,
C003001505,Yes,,,
C003001510,No,,No,
C003001520,Yes,,Yes,
C003001525,Yes,,No,
C003001605,Yes,,,
C003001702,Yes,,,
C003001705,Yes,,,
C003001710,No,,,
C003001715,Yes,,,
C003001720,Yes,,No,
C003001805,No,,No,
C003001905,Yes,,,
C003001910,Yes,,No,
C003001915,Yes,,,
C003002010,Yes,,,
C003002015,Yes,,,
C003002020,Yes,,,
C003002105,Yes,,,
C003002110,Yes,,,
C003002115,Yes,,No,
C003002120,Yes,,No,
C003002205,Yes,,No,
C003002210,Yes,,No,
C003002215,Yes,,,
C003002305,No,,No,
C003002310,Yes,,No,
C003002315,Yes,,,
C003002321,Yes,,,
C003002323,Yes,,,
C003002325,Yes,,No,
C003002330,Yes,,,
C003002405,No,,,
C003002500,Yes,,,
C003002505,No,,No,
C003002605,Yes,,,
C003002610,Yes,,,
C003002615,Yes,,No,
C003002620,Yes,,No,
C003002625,No,,No,
C003002630,Yes,,No,
C003002703,Yes,,,
C003002705,Yes,,,
C003002710,Yes,,No,
C003002805,No,,Yes,
C003002810,Yes,,,
C003002905,No,,No,
C003002910,Yes,,,
C003003005,Yes,,,
