structureNumber,flowChartResult,randomForest,NDOTResult
C000203305,No,,No,
C000203705,No,,No,
C000204105,Yes,,No,
C000204305,No,,No,
C000204505,Yes,,,
C000204605,Yes,No,No,
C000204615,Yes,,No,
C000204805,Yes,,,
C000204810,Yes,,No,
C000204815,No,,No,
C000204905,Yes,,No,
C000204910,Yes,,No,
C000205010,Yes,,No,
C000205605,No,,No,
C000205610,Yes,,No,
C000205805,Yes,Yes,No,
C000206005,No,,No,
C000206005P,Yes,,No,
C000206420,Yes,,No,
C000206425,Yes,,No,
C000206430,No,,No,
C000206805,No,,No,
C000210305,No,,No,
C000210405,Yes,Yes,No,
C000210503,No,,No,
C000210505,Yes,,No,
C000210705,Yes,,No,
C000210710,Yes,,No,
C000210715,Yes,,No,
C000210720,Yes,,,
C000210725,Yes,,No,
C000211030,Yes,,No,
C000211035,Yes,,No,
C000211040,No,,No,
C000211205,No,,No,
C000211905,No,,No,
C000212105,Yes,,No,
C000212710,No,Yes,No,
C000212715,Yes,,No,
C000212720,No,,No,
C000213105,Yes,,No,
C000213905,Yes,,No,
C000213905P,Yes,,,
C000214110,No,,No,
C000214120,No,,No,
C000214405,No,Yes,No,
C000214410P,No,,No,
C000214705,Yes,,No,
C000214710,Yes,,,
C000215015,Yes,,No,
C000215020,No,,No,
C000215205P,No,,No,
C000215210,No,,No,
C000215615,Yes,,No,
C000215620,No,,No,
C000215810,Yes,,No,
C000216010,No,,No,
C000216015,No,,No,
C000216025,No,,No,
C000216605,Yes,,,
C000216610,Yes,,No,
C000217010,No,,No,
C000217015,Yes,,No,
C000220220,No,,No,
C000220225,Yes,,,
C000220230,Yes,,No,
C000220310,Yes,,No,
C000220610,Yes,,No,
C000220810,Yes,No,No,
C000220905,No,,No,
C000221105P,No,,No,
C000221115P,Yes,,No,
C000221130P,Yes,,No,
C000221305,Yes,,No,
C000221307,Yes,,,
C000221310,Yes,,No,
C000221315,Yes,,No,
C000221905,Yes,,,
C000221911,Yes,,No,
C000221915,Yes,,,
C000221940,No,,,
C000221945,Yes,,No,
C000222315,Yes,,No,
C000222320,Yes,,No,
C000223110,Yes,,,
C000223115,Yes,,Yes,
C000223710,Yes,,,
C000224125,No,,No,
C000224315,Yes,,No,
C000224320,Yes,,No,
C000224325,No,,No,
C000224510,Yes,,No,
C000226205,Yes,,No,
C000226615,Yes,,No,
C000226810,Yes,,,
C000230110,Yes,,No,
C000230510,Yes,,No,
C000230820,Yes,,No,
C000230910,Yes,,No,
C000231105,Yes,,Yes,
C000233510,Yes,,,
C000233910,No,,No,
C000233915,Yes,,No,
C000235815,No,,No,
C000236210,No,,No,
C000236215,No,,No,
C000236220,No,,No,
C000237425,No,,No,
C000241505,Yes,,,
C000241507,Yes,,,
C000242110,Yes,,No,
C000243920,No,,No,
C000251510,Yes,,No,
C000400705,Yes,,,
C000402010,Yes,,,
C000402205,Yes,,,
C000402210,Yes,,,
C000402405P,Yes,,,
C000402905,Yes,,,
C000402910,Yes,,,
C000403223,Yes,,,
C000403225,Yes,,,
C000403230,Yes,,,
C000404005,Yes,,No,
C000405705,Yes,,,
C000500115P,Yes,,Yes,
C000500210P,Yes,Yes,Yes,
C000500305,Yes,,,
C000500505P,Yes,,No,
C000500605P,Yes,,Yes,
C000500705,Yes,,No,
