,BIR_PRJD_ITEM_008,BIR_PRJD_RT_008A,BIR_PRJD_ORIG_PLN,BIR_PRJD_OVERLAY,BIR_PRJD_CURB,BIR_PRJD_DEV_RPAR,BIR_PRJD_WIDENING,BIR_PRJD_PAINTING,BIR_PRJD_SHOP_PLN,BIR_PRJD_OTHER,BIR_PRJD_RE_DECK,BIR_PRJD_FORM_PRJ,BIR_PRJD_DSGN_CLS,BIR_PRJD_YEAR
45,S002 26869,1,Y,,,,,,,,,F-284(10),T-20,1965.0
46,S002 26869,2,,,,,,,,Y,,STD 1822-A2-R2,,
47,S002 26869,3,,,,,,,,Y,,EACNH-2-3(116)-12C,HS20,2002.0
48,S002 27661,1,Y,,,,,,,,,F-2-3(107)-3C,HS20,1979.0
49,S002 27661,2,,,,,,,,Y,,NH-2-3(117)-1C,,2011.0
50,S002 27708,1,Y,,,,,,,,,F-2-3(107)-4C,HS20,1979.0
51,S002 27830,1,Y,,,,,,,,,F-2-3(107)-5C,HS20,1979.0
52,S002 28242,1,Y,,,,,,,,,F-BRF-BHF-2-3(106)-1,HS20,1983.0
53,S002 28242,2,,,,,,,Y,,,11466,,1983.0
54,S002 28480,1,Y,,,,,,,,,WPH-22-DIV-2-8,H-15,1935.0
55,S002 28480,2,,,,,,,Y,,,8931,,
56,S002 28480,3,,,,,,,,Y,,F-BRF-BHF-2-3 (106)-2,HS20,1983.0
57,S002 28480,4,,,,,,,Y,,,11466,,1983.0
58,S002 28532,1,Y,,,,,,,,,WPH-22-DIV-2-7,H-15,1935.0
59,S002 28532,2,,,,,,,Y,,,8927,,
60,S002 28532,3,,,,,Y,,,,,F-BRF-BHF-2-3(106)-3,HS20,1983.0
61,S002 28532,4,,,,,,,Y,,,11466,,1983.0
62,S002 28702,1,Y,,,,,,,,,WPMH-22-E-DIV-2-1,H-15,1935.0
63,S002 28702,2,,,,,,,Y,,,8929,,
64,S002 28702,3,,,,,Y,,,,,F-BRF-BHF-2-3(106)-4,HS20,1983.0
65,S002 28702,4,,,,,,,Y,,,11466,,1983.0
66,S002 28844,1,Y,,,,,,,,,F-2-3(105)-2C,HS20,1981.0
67,S002 29095,1,Y,,,,,,,,,F-2-3(105)-6C,HS20,1981.0
68,S002 29329,1,Y,,,,,,,,,F-2-3(105)-10C,HS20,1981.0
69,S002 29755,1,Y,,,,,,,,,F-2-3(1007)-3C,HS20,1978.0
70,S002 29937,1,Y,,,,,,,,,F-2-3(1007)-4C,HS20,1978.0
71,S002 30085,1,Y,,,,,,,,,22-2C,T20,1933.0
72,S002 30085,2,,,,,,,,Y,,F-2-3(1007)-9C,HS20,1978.0
73,S002 30589,1,Y,,,,,,,,,EACNH-2-3(104)-1,HS25,1993.0
74,S002 30589,2,,,,,,,Y,,,12281,,
75,S002 31178,1,Y,,,,,,,,,F-2-4(105)-1,H20,1990.0
76,S002 31178,2,,,,,,,Y,,,11972,,
77,S002 31565,1,Y,,,,,,,,,F-2-4(105)-2,HS20,1990.0
78,S002 31565,2,,,,,,,Y,,,11972,,
79,S002 31832,1,Y,,,,,,,,,F-BRF-BHF-2-4(104)-1,HS20,1988.0
80,S002 31832,2,,,,,,,Y,,,11806,,
81,S002 31947,1,Y,,,,,,,,,WPMH-22-E-DIV-2-1,H-15,1935.0
82,S002 31947,2,,,,,,,Y,,,8929,,
83,S002 32022,1,Y,,,,,,,,,UNKNOWN,,1939.0
84,S002 32022,3,,,,,Y,,,,Y,F-BRF-BHF-2-4-(104)-3,HS20,1988.0
85,S002 32022,4,,,,,,,Y,,,11806,,
86,S002 32088,1,Y,,,,,,,,,UNKNOWN,,1988.0
87,S002 32088,2,,,,,Y,,,,Y,F-BRF-BHF-2-4(104)-4,HS20,1988.0
88,S002 32088,3,,,,,,,Y,,,11806,,
89,S002 32283,1,Y,,,,,,,,,F-BRF-BHF-2-4(104)-5,HS20,1988.0
90,S002 32283,2,,,,,,,Y,,,11806,,
91,S002 32814,1,Y,,,,,,,,,F-208(20)-2,HS20,1957.0
92,S002 32814,2,,,,,,,Y,,,12246,,
