structureNumber,intervention
S006 24830,Yes
S006 26001,Yes
S006 26037,Yes
S006 26037,Yes
S006 26037,Yes
S006 26525,Yes
S006 26525,Yes
S006 26525,Yes
S006 26525,Yes
S006 26882,Yes
S006 27942,No
S006 28424,No
S006 28424,No
S006 28424,No
S006 28460,No
S006 28460,No
S006 28494,No
S006 28494,No
S006 28494,No
S006 29337,Yes
S006 29351,Yes
S006 29450,Yes
S006 30195,Yes
S006 30531,No
S006 30531,No
S006 30574,Yes
S006 30631,No
S006 30732,Yes
S006 30732,Yes
S006 30732,Yes
S006 30776,No
S006 30829,No
S006 30843,No
S006 31339,No
S006 31339,No
S006 31455L,Yes
S006 31455L,Yes
S006 31455L,Yes
S006 31455L,Yes
S006 31455R,Yes
S006 31455R,Yes
S006 31455R,Yes
S006 31455R,Yes
S006 31463,No
S006 31502,No
S006 31502,No
S006 31502,No
S006 31502,No
S006 31590,Yes
S006 31590L,No
S006 31590L,No
S006 31590L,No
S006 31590L,No
S006 31632,Yes
S006 31814,No
S006 31814,No
S006 32007,No
S006 32007,No
S006 32007,No
S006 32007,No
S006 32014,No
S006 32110,No
S006 32110,No
S006 32193,No
S006 32193,No
S006 32305,No
S006 32305,No
S006 32436,No
S006 32476,No
S006 32557,Yes
S006 32557,Yes
S006 32680,No
S006 32879,Yes
S006 32879,Yes
S006 32879,Yes
S006 33065,Yes
S006 33065,Yes
S006 33065,Yes
S006 33065,Yes
S006 33363,No
S006 33485,No
S006 33962,No
S006 33962R,No
S006 33987,No
S006 33987R,No
S006 34032,No
S006 34032,No
S006 34032,No
S006 34077,No
S006 34077,No
S006 34157,Yes
S006 34238,Yes
S006 34277,Yes
S006 34908,No
S006 34908,No
S006 35099,No
S006 35482,Yes
S006 35500,Yes
S006 35693L,Yes
S006 35693R,Yes
S006 35728,Yes
S006 35790,Yes
S006 35890,Yes
S006 35999,Yes
S006 36012,Yes
S006 36093,Yes
S006 36142,Yes
S006 36192,Yes
S006 36240,No
S006 36293,No
S006 36392,Yes
S006 36428A,Yes
S006 36428B,Yes
S006 36466A,Yes
S006 36466R,No
S006 36466R,No
S006 36484,Yes
S006 36484,Yes
S006 36484A,Yes
S006 36484B,Yes
S006 36484C,Yes
S006 36484D,Yes
S006 36484R,No
S006 36561,Yes
S006 36561,Yes
S006 36561,Yes
S006 36742,Yes
S006 36742,Yes
S006 36742,Yes
S006 37025,No
S007 00071,Yes
S007 00071,Yes
S007 01774,No
S007 07323,Yes
S007 07323,Yes
S007 07337,No
S008 00117,No
S008 00245,Yes
S008 00245,Yes
S008 00245,Yes
S008 00326,Yes
S008 00326,Yes
S008 00326,Yes
S008 00442,Yes
S008 00802,Yes
S008 00861,Yes
S008 01739,Yes
S008 01739,Yes
S008 01825,No
S008 02034,No
S008 02661,No
S008 03021,No
S008 03021,No
S008 03320,No
S008 03320,No
S008 03320,No
S008 03439,Yes
S008 03439,Yes
S008 03439,Yes
S008 03439,Yes
S008 03775,No
S008 03863,Yes
S008 03863,Yes
S008 03863,Yes
S008 04360,Yes
S008 04360,Yes
S008 04360,Yes
S008 04500,Yes
S008 04872,No
S008 05189,Yes
S008 05189,Yes
S008 05189,Yes
S008 05253,Yes
S008 05275,Yes
S008 05290,Yes
S008 05303,Yes
S008 05359,Yes
S008 05359,Yes
S008 05359,Yes
S008 05533,No
S008 05739,Yes
S008 05823,Yes
S008 05823,Yes
S008 06041,Yes
S008 06147,Yes
S008 07188,No
S008 07188,No
S008 07293,No
S008 07293,No
S008 07461,Yes
S008 07563,Yes
S008 07563,Yes
S008 07563,Yes
S008 08619,Yes
S008 08863,No
S008 08863,No
S008 09199,Yes
S008 09199,Yes
S008 09655,Yes
S008 11007,Yes
S008 11290,Yes
S008 12067,Yes
S008 12067,Yes
S008 12578,Yes
S008 12672,Yes
S008 12672,Yes
S008 12972,Yes
S008 12972,Yes
S008 12972,Yes
S008 12972,Yes
S008 12972,Yes
S008 13265,Yes
S008 13265,Yes
S008 13352,Yes
S008 13352,Yes
S008 13678,Yes
S008 13678,Yes
S008 14104,Yes
S008 14151,No
S008 14278,Yes
S008 14278,Yes
S008 14278,Yes
S008 14278,Yes
S008 14278,Yes
S008 14420,No
S008 14851,No
S008 14851,No
S008 14851,No
S008 14851,No
S009 00244,Yes
S009 00436,Yes
S009 00456,Yes
S009 00580,No
S009 00888,Yes
S009 00888,Yes
S009 01397,Yes
S009 01397,Yes
S009 01514,Yes
S009 01514,Yes
S009 01684,Yes
S009 01684,Yes
S009 01684,Yes
S009 01809,Yes
S009 01952,Yes
S009 01952,Yes
S009 02065,Yes
S009 02476,No
S009 02655,Yes
S009 02655,Yes
S009 02851,Yes
S009 02851,Yes
S009 03104,Yes
S009 03104,Yes
S009 03172,No
S009 03475,Yes
S009 03475,Yes
S009 03691,Yes
S009 03691,Yes
S009 04677,No
S009 05482,Yes
S009 05482,Yes
S009 05482,Yes
S009 05482,Yes
S009 05953,Yes
S009 05953,Yes
S009 05953,Yes
S010 00377,Yes
S010 00548,Yes
S010 02220,Yes
S010 02220,Yes
S010 04005,Yes
S010 04117,Yes
S010 04117,Yes
S010 04440,No
S010 04572,Yes
S010 04572,Yes
S010 04736,Yes
S010 04736,Yes
S010 06021,Yes
S010 06089,Yes
S010 06214,Yes
S010 06439,Yes
S010 06439,Yes
S010 07548,Yes
S010 07548,Yes
S010 07548,Yes
S010 07548,Yes
S010 07560,Yes
S010 07560,Yes
S010 07560,Yes
S010 07560,Yes
S010 07564A,Yes
S010 07570,Yes
S010 07570,Yes
S010 07570,Yes
S010 07570,Yes
S010 07578,Yes
S010 07578,Yes
S010 07578,Yes
S010 07578,Yes
S010 07633,Yes
S010 07633,Yes
S010 07633,Yes
S010 07633,Yes
S010 08065,Yes
S010 08070,No
S010 08070,No
S010 08342,Yes
S010 08383,Yes
S010 08383,Yes
S010 08383,Yes
S010 08383,Yes
S010 08760,No
S010 08781,Yes
S010 08781,Yes
S010 09001,No
S010 09650,No
S010 09978,No
S010 10086,Yes
S010 10086,Yes
S011 00484,No
S011 00569,No
S011 00569,No
S011 01109,No
S011 01109,No
S011 01753,No
S011 01753,No
S011 01757,No
S011 01873,No
S011 01873,No
S011 02284,Yes
S011 02748,No
S011 03240,Yes
S011 03240,Yes
S011 03549,Yes
S011 03549,Yes
S011 04545,No
S011 04715,Yes
S011 04715,Yes
S011 04715,Yes
S011 04755,No
S011 05050,Yes
S011 05050,Yes
S011 05050,Yes
S011 05228,No
S011 05228,No
S011 05380,No
S011 05380,No
S011 05453,No
S011 05453,No
S011 05713,No
S011 05713,No
S011 05926,No
S011 05926,No
S011 05926,No
S011 06091,No
S011 06360,No
S011 06491,No
S011 06625,No
S011 06648,Yes
S011 06974,Yes
S011 07407,Yes
S011 07551,No
S011 07689,Yes
S011 07886,No
S011 08084,No
S011 08084,No
S011 08103,No
S011 08353,Yes
S011 08448,Yes
S011 08472,Yes
S011 08577,Yes
S011 08834,Yes
S011 09109,Yes
S011 09274,Yes
S011 09274,Yes
S011 09274,Yes
S011 09274,Yes
S011 09388,No
S011 11082,Yes
S011 11410,Yes
S011 12408,No
S011 12491,Yes
S011 12642,No
S011 12826,No
S011 13085,No
S011 13196,No
S011 13390,No
S011 13390,No
S011 13768,Yes
S011 13768,Yes
S011 13768,Yes
S011 13944,No
S011 13985,No
S011 14057,No
S011 14057,No
S011 14303,No
S011 14303,No
S011 14378,No
S011 14378,No
S011 14688,No
S011 14751,No
S011 14751,No
S011 14761,No
S011 14761,No
S011 17131,Yes
S011 17131,Yes
S011 17131,Yes
S011 17645,Yes
S011 17645,Yes
S011 18424,No
S011 18424,No
S011 18443,No
S011 18443,No
S011 18443,No
S012 00398,No
S012 00398,No
S012 00398,No
S012 00398,No
S012 00783,No
S012 00783,No
S012 06491,No
S012 07275,No
S012 07966,No
S012 08127,Yes
S012 08127,Yes
S012 11255,Yes
S012 11255,Yes
S012 12907,No
S012 12907,No
S012 12949,Yes
S012 12949,Yes
S012 12949,Yes
S012 13136,No
S012 13136,No
S012 13136,No
S012 13280,No
S012 13299,No
S012 13299,No
S012 13604,Yes
S012 13604,Yes
S012 13642,Yes
S012 13642,Yes
S012 13717,Yes
S012 13717,Yes
S012 13717,Yes
S012 13717,Yes
S012 13952,No
S012 14129,Yes
S012 14287,No
S012 14511,Yes
S012 14511,Yes
S012 15184,No
S012 15184,No
S012 15268,No
S012 15268,No
S012 15411,No
S012 15496,No
S012 15496,No
S012 15728,No
S012 15728,No
S012 15983,Yes
S012 16027,Yes
S012 16027,Yes
S012 16027,Yes
S012 16307,No
S012 16307,No
S012 16384,Yes
S012 16384,Yes
S012 16603,No
S012 16603,No
S012 16723,No
S012 17716,No
S012 18269,No
S012 18741,No
S012 18902,No
S012 18993,No
S012 18993,No
S012 20032,No
S012 20032,No
S012 20366,Yes
S012 20366,Yes
S012 20744,Yes
S012 20744,Yes
S012 21579,Yes
S012 21579,Yes
S012 21653,Yes
S012 21653,Yes
S012 21720,No
S012 21720,No
S012 22426,Yes
S012 22681,Yes
S012 22813,Yes
S012 22813,Yes
S012 22813,Yes
S012 22928,Yes
S012 23427,Yes
S012 23427,Yes
S012 23427,Yes
S012 23640,No
S012 23640,No
S013 00041,Yes
S013 00041,Yes
S013 00041,Yes
S013 00043,Yes
S013 00043,Yes
S013 00354,Yes
S013 00354,Yes
S013 00476,No
S013 00839,Yes
S013 01290,No
S013 01684,Yes
S013 01684,Yes
S013 01684,Yes
S013 02305,No
S013 02305,No
S013 02377,Yes
S013 02377,Yes
S013 02377,Yes
S013 02435,No
S013 02435,No
S013 03621,Yes
S013 03621,Yes
S013 03621,Yes
S013 03934,Yes
S013 03934,Yes
S013 03934,Yes
S013 04237,Yes
S013 04411,Yes
S013 04411,Yes
S013 04529,Yes
S013 04556,Yes
S013 04791,Yes
S013 04791,Yes
S013 04837,No
S014 00005,No
S014 00005,No
S014 00005,No
S014 00005,No
S014 00053,No
S014 00053,No
S014 00053,No
S014 00122,No
S014 00122,No
S014 00137,No
S014 00137,No
S014 00177,No
S014 00177,No
S014 00177,No
S014 01461,Yes
S014 01461,Yes
S014 01461,Yes
S014 01793,No
S014 01793,No
S014 01793,No
S014 02356,No
S014 02356,No
S014 02356,No
S014 02410,No
S014 02465,Yes
S014 02465,Yes
S014 02465,Yes
S014 02929,No
S014 02929,No
S014 03182,No
S014 03182,No
S014 03813,No
S014 04519,No
S014 04519,No
S014 04632,No
S014 04632,No
S014 05265,No
S014 05301,Yes
S014 05301,Yes
S014 05401,Yes
S014 05401,Yes
S014 06170,Yes
S014 06402,No
S014 06402,No
S014 06476,No
S014 07081,Yes
S014 07214,Yes
S014 07214,Yes
S014 07214,Yes
S014 07739,No
S014 07739,No
S014 07783A,No
S014 07812A,No
S014 07833A,No
S014 07842A,No
S014 07891,No
S014 07976,No
S014 08192,No
S014 08492,No
S014 08670,No
S014 08782,No
S014 09155,Yes
S014 09725,Yes
S014 09804,Yes
S014 09847,Yes
S014 09908,Yes
S014 09908,Yes
S014 09908,Yes
S014 10067,Yes
S014 10317,Yes
S014 10317,Yes
S014 10364,Yes
S014 10364,Yes
S014 11019,No
S014 11036,Yes
S014 11036,Yes
S014 11683,Yes
S014 11683,Yes
S014 11835,No
S014 12030,Yes
S014 12377,Yes
S014 12572,No
S014 12886,No
S014 13503,Yes
S014 13503,Yes
S014 13503,Yes
S014 13690,No
S014 14093,No
S014 14093,No
S014 14865,No
S014 15517,No
S014 15517,No
S014 15554,No
S014 17044,Yes
S014 17044,Yes
S014 17044,Yes
S014 17044,Yes
S014 17709,No
S014 18227,Yes
S014 18227,Yes
S014 18364,No
S014 18760,No
S014 18760,No
S014 19089,Yes
S014 19089,Yes
S014 19089,Yes
S014 19089,Yes
S014 19187,No
S014 19187,No
S014 19281,No
S014 19281,No
S014 19287,No
S014 19287,No
S014 19427,No
S014 19427,No
S014 19621,No
S014 19621,No
S014 19859,No
S014 19859,No
S014 19859,No
S014 20330,No
S015 00307,Yes
S015 00453,Yes
S015 00903,Yes
S015 01730,No
S015 01772,No
S015 02037,No
S015 02431,Yes
S015 02431,Yes
S015 02964,No
S015 03097,Yes
S015 03097,Yes
S015 03667,No
S015 04174,Yes
S015 04174,Yes
S015 04225,Yes
S015 04225,Yes
S015 04371,Yes
S015 04371,Yes
S015 05910,No
S015 05910,No
S015 05910,No
S015 06155,No
S015 06155,No
S015 06155,No
S015 06155,No
S015 06516,No
S015 06516,No
S015 06516,No
S015 06549,No
S015 06549,No
S015 06549,No
S015 06605,No
S015 06605,No
S015 07094,Yes
S015 07094,Yes
S015 07094,Yes
S015 07669,No
S015 08239,No
S015 08239,No
S015 08239,No
S015 08413,No
S015 08602,No
S015 08602,No
S015 08602,No
S015 08725,No
S015 08725,No
S015 09916,Yes
S015 10013,Yes
S015 10492,No
S015 10511,Yes
S015 10511,Yes
S015 10547,Yes
S015 10547,Yes
S015 10547,Yes
S015 10547,Yes
S015 10547,Yes
S015 10746,No
S015 10746,No
S015 10833,No
S015 10833,No
S015 10949,Yes
S015 11130,Yes
S015 11130,Yes
S015 11130,Yes
S015 11130,Yes
S015 11557,Yes
S015 11557,Yes
S015 11596,Yes
S015 11596,Yes
S015 11628,Yes
S015 11628,Yes
S015 11904,No
S015 12325,Yes
S015 12325,Yes
S015 12349,Yes
S015 12349,Yes
S015 13411,No
S015 13473,No
S015 13996,Yes
S015 13996,Yes
S015 14542,Yes
S015 14542,Yes
S015 14542,Yes
S015 14603,Yes
S015 15264,Yes
S015 15264,Yes
S015 15307,Yes
S015 15307,Yes
S015 15307,Yes
S015 15307,Yes
S015 15307,Yes
S015 15738,Yes
S015 15738,Yes
S015 15738,Yes
S015 15738,Yes
S015 15738,Yes
S015 15876,No
S015 15876,No
S015 15876,No
S015 16139,No
S015 16139,No
S015 16139,No
S015 16362,No
S015 16369,No
S015 16384,Yes
S015 16384,Yes
S015 16384,Yes
S015 16384,Yes
S015 16632,Yes
S015 16632,Yes
S015 16632,Yes
S015 16632,Yes
S015 16714,No
S015 16714,No
S015 16967,No
S015 17224,No
S015 17514,No
S015 17514,No
S015 17514,No
S015 17620,Yes
S015 17620,Yes
S015 17620,Yes
S015 17620,Yes
S015 17763,No
S015 17763,No
S015 18571,Yes
S015 18694,No
S015 19035,No
S015 19224,Yes
S015 20510R,No
S016 00206,No
S016 00467,No
S016 00624,No
S016 00747,No
S016 00946,Yes
S016 01019,No
S016 01058,No
S016 01408,No
S016 01408,No
S016 01687,No
S016 01687,No
S016 01818,No
S016 01818,No
S016 01890,No
S016 01962,Yes
S016 01962,Yes
S016 02255,Yes
S016 02444B,Yes
S016 02454,No
S016 02736,Yes
S017 00596,No
S017 00782,No
S017 00782,No
S017 01741,Yes
S017 01741,Yes
S017 01741,Yes
S017 01780,Yes
S017 01780,Yes
S018 00036,No
S018 00036,No
S018 00110,No
S018 00110,No
S018 01063,Yes
S018 01063,Yes
S018 01063,Yes
S018 01130,Yes
S018 01233,Yes
S018 01472,Yes
S018 01556,No
S018 01779,No
S018 02083,No
S018 02451,Yes
S018 02982,No
S018 03092,Yes
S018 03360,Yes
S018 03499,Yes
S018 03638,Yes
S018 03878,No
S019 00187,Yes
S019 00187,Yes
S019 00284,Yes
S019 00284,Yes
S019 00477,Yes
S019 00477,Yes
S019 01013,Yes
S019 01013,Yes
S019 01013,Yes
S019 01073,Yes
S019 01073,Yes
S019 01073,Yes
S020 00938,No
S020 03179,Yes
S020 03179,Yes
S020 03179,Yes
S020 03179,Yes
S020 03405,Yes
S020 03405,Yes
S020 03405,Yes
S020 03405,Yes
S020 03405,Yes
S020 03426,No
S020 03558,Yes
S020 03558,Yes
S020 03558,Yes
S020 03708,Yes
S020 03708,Yes
S020 03759,Yes
S020 03759,Yes
S020 04527,Yes
S020 04527,Yes
S020 04813,Yes
S020 04813,Yes
S020 05050,Yes
S020 05050,Yes
S020 05242,Yes
S020 05242,Yes
S020 05242,Yes
S020 05559,Yes
S020 05559,Yes
S020 05559,Yes
S020 05866,No
S020 06119,Yes
S020 06119,Yes
S020 06284,Yes
S020 06720,Yes
S020 06720,Yes
S020 07058,Yes
S020 07058,Yes
S020 07191,Yes
S020 07191,Yes
S020 07896,Yes
S020 07896,Yes
S020 07896,Yes
S020 07896,Yes
S020 08037,Yes
S020 08037,Yes
S020 08037,Yes
S020 08037,Yes
S020 08125,Yes
S020 08350,No
S020 08350,No
S020 08523,Yes
S020 08523,Yes
S020 08691,No
S020 08691,No
S020 08780,No
S020 08780,No
S020 08853,No
S020 08993,Yes
S020 10040,No
S020 10652,Yes
S020 10652,Yes
S020 10652,Yes
S020 10652,Yes
S020 10699,Yes
S020 10699,Yes
S020 10699,Yes
S020 10818,Yes
S020 10818,Yes
S020 10818,Yes
S020 10818,Yes
S020 10881,No
S020 10881,No
S020 11095,Yes
S020 11095,Yes
S020 11095,Yes
S020 11095,Yes
S020 18521,No
S020 18521,No
S020 18871,No
S020 19950,Yes
S020 19950,Yes
S020 19981,Yes
S020 19981,Yes
S020 19981,Yes
S020 19981,Yes
S020 19981,Yes
S020 21831,No
S020 22072,No
S020 22961,Yes
S020 22961,Yes
S020 23546,No
S020 24162,Yes
S020 24162,Yes
S020 24162,Yes
S020 24188,Yes
S020 24188,Yes
S020 24188,Yes
S020 25011,No
S020 25011,No
S020 25225,No
S020 25225,No
S020 25225,No
S020 25225,No
S020 27627,Yes
S020 27627,Yes
S020 27627,Yes
S020 27934,Yes
S020 29841,Yes
S020 31087,Yes
S020 31087,Yes
S020 31087,Yes
S020 31087,Yes
S020 31087,Yes
S020 31087,Yes
S020 31087,Yes
S020 31101,Yes
S020 31101,Yes
S020 31101,Yes
S020 31101,Yes
S020 31101,Yes
S020 31101,Yes
S020 31219,No
S020 31752,Yes
S020 31826,Yes
S020 31928,Yes
S020 31951,Yes
S020 32180,Yes
S020 32215,Yes
S020 32238,Yes
S020 32260,Yes
S020 32260,Yes
S020 32269,No
S020 32269,No
S020 32299,Yes
S020 32299,Yes
S020 33948,Yes
S020 33948,Yes
S020 33948,Yes
S020 34820,No
S020 35464,No
S020 36120,No
S020 36120,No
S020 36326,Yes
S020 36393,Yes
S020 36486,Yes
S020 36545,Yes
S020 36782,Yes
S020 36782,Yes
S020 36806,Yes
S020 36981,No
S020 37412,No
S020 37412,No
S020 37580,No
S020 37797,No
S020 37832,No
S020 37940,No
S020 38101,No
S020 38101,No
S020 38101,No
S020 38101,No
S020 38156,No
S020 38433,No
S020 38493,No
S020 38797,No
S020 38797,No
S020 38968,No
S020 38968,No
S020 39242,No
S020 39242,No
S020 39242,No
S020 39279,No
S020 39279,No
S020 39279,No
S020 39304A,No
S020 39335A,No
S020 39662,Yes
S020 39662,Yes
S020 39662,Yes
S020 39789,Yes
S020 39789,Yes
S020 39789,Yes
S020 39987,No
S020 39987,No
S020 39987,No
S020 40411,No
S020 40411,No
S020 40411,No
S020 40411,No
S020 40463,No
S020 40463,No
S020 40702,No
S020 40702,No
S020 40702,No
S020 41820,No
S020 41820,No
S020 41914,No
S020 41914,No
S020 41914,No
S020 41914,No
S020 41914,No
S020 42020,No
S020 42020,No
S020 42020,No
S020 42020,No
S020 42020,No
S020 42073,No
S020 42073,No
S020 42144,No
S020 42144,No
S020 42144,No
S020 42144,No
S020 42144,No
S020 42270,Yes
S020 42270,Yes
S021 00316,Yes
S021 00316,Yes
S021 00579,Yes
S021 00579,Yes
S021 00738,Yes
S021 00738,Yes
S021 01167,No
S021 01212,No
S021 01319,Yes
S021 01319,Yes
S021 01319,Yes
S021 01383,Yes
S021 01383,Yes
S021 01383,Yes
S021 01383,Yes
S021 02931,No
S021 03166,No
S021 03228,No
S021 03228,No
S021 03419,No
S021 03419,No
S021 03446,No
S021 03446,No
S021 03446,No
S021 03563,No
S021 03563,No
S021 03563,No
S021 04303,No
S021 04427,No
S021 04569,No
S021 05160,Yes
S021 05160,Yes
S021 05160,Yes
S021 05212,No
S021 05305,Yes
S021 05328,Yes
S021 05765,Yes
S021 05769,No
S021 06052,Yes
S021 06054,No
S021 06165,Yes
S021 06172,No
S021 07181,Yes
S022 00879,Yes
S022 00879,Yes
S022 01055,No
S022 01454,No
S022 01454,No
S022 01492,No
S022 01611,Yes
S022 01611,Yes
S022 01957,Yes
S022 01957,Yes
S022 03466,Yes
S022 03790,No
S022 04033,No
S022 05903,Yes
S022 05903,Yes
S022 05903,Yes
S022 06013,No
S022 06013,No
S022 06312,Yes
S022 06312,Yes
S022 06312,Yes
S022 06567,Yes
S022 06567,Yes
S022 06970,No
S022 07139,No
S022 07139,No
S022 07139,No
S022 07274,Yes
S022 07415,Yes
S022 07687,No
S022 07687,No
S022 07710,No
S022 07731,No
S022 07944,No
S022 08235,No
S022 08235,No
S022 08441,No
S022 08441,No
S023 00718,Yes
S023 00718,Yes
S023 01328,Yes
S023 01328,Yes
S023 04788,No
S023 04788,No
S023 05016,No
S023 06432,Yes
S023 06432,Yes
S023 08874,Yes
S023 08874,Yes
S023 08874,Yes
S023 08874,Yes
S023 09088,Yes
S023 09088,Yes
S023 09088,Yes
S023 09289,Yes
S023 09303,No
S023 09303,No
S023 09443,Yes
S023 09443,Yes
S023 09443,Yes
S023 09848,Yes
S023 10598,No
S023 10598,No
S023 10837,No
S023 10837,No
S023 10930,No
S023 11030,No
S023 11030,No
S023 11189,No
S023 11464,No
