structureNumber,intervention
S023 11464,No
S023 11597,No
S023 11956,No
S023 11956,No
S023 12004,No
S023 12004,No
S023 12106,No
S023 12549,No
S023 12549,No
S023 15546,No
S023 15546,No
S023 15669,No
S023 15825,Yes
S023 15825,Yes
S024 00063,No
S024 00144,No
S024 00144,No
S024 00220,No
S024 00220,No
S024 00659,Yes
S024 00659,Yes
S024 00659,Yes
S024 00853,Yes
S024 00853,Yes
S024 00853,Yes
S024 00988,Yes
S024 00988,Yes
S024 00988,Yes
S025 00256,Yes
S025 00256,Yes
S025 00256,Yes
S025 01158,Yes
S025 01215,Yes
S025 01324,Yes
S025 01324,Yes
S025 01354,Yes
S025 01388,Yes
S025 01447,No
S025 02293,No
S025 02348,Yes
S025 03360,No
S025 03653,No
S025 06058,Yes
S025 06058,Yes
S025 08198,No
S025 09737,Yes
S025 09737,Yes
S025 09828,Yes
S025 10306,No
S025 10306,No
S025 10331,No
S025 10331,No
S025 10441,Yes
S025A00095,Yes
S025A00095,Yes
S025A00116,Yes
S025A00116,Yes
S026 00454,Yes
S026 00454,Yes
S026 00628,Yes
S026 00628,Yes
S026 01250,No
S026 01250,No
S026 01256,Yes
S026 01367R,No
S026 01367R,No
S026 01367R,No
S026 01477,No
S026 01622,No
S026 01923,No
S026 01923,No
S026 01923,No
S026 02559,Yes
S026 02807,Yes
S026 02807,Yes
S026 02807,Yes
S026 03470,Yes
S026 03505,Yes
S026 03916,Yes
S026 04114,Yes
S026 04644,Yes
S026 04644,Yes
S026 04791,Yes
S026 04791,Yes
S026 04791,Yes
S026 05259,Yes
S026 05259,Yes
S026 05259,Yes
S026 05259,Yes
S026 05259,Yes
S026 05259,Yes
S026 05868,No
S026 05868,No
S026 06190,Yes
S026 06190,Yes
S026 06190,Yes
S026 06211,Yes
S026 06222,Yes
S026 06723,No
S026 06723,No
S026 07080,No
S026 07080,No
S026 07252,No
S026 07252,No
S026 07462,No
S026 07462,No
S026 07871,No
S026 07871,No
S026 07975,No
S026 07975,No
S026 08088,No
S026 08088,No
S026 08281,No
S026 08281,No
S026 08495,No
S026 08495,No
S026 08623,No
S026 08623,No
S026 08828,No
S026 08975,No
S026 08975,No
S026 09007,No
S026 09097,No
S026 09097,No
S026 09396,No
S026 09396,No
S026 09613,No
S026 09743,No
S026 09841,No
S026 09841,No
S026 10469,Yes
S026 11031,No
S026 11580,No
S026 11926,Yes
S026 11926,Yes
S026 11926,Yes
S026 11926,Yes
S026 11926,Yes
S026 11954,Yes
S026 11954,Yes
S026 11954,Yes
S026 11954,Yes
S026 11954,Yes
S026 12003,No
S026 12003,No
S026 12282,No
S026 12282,No
S026 14648,Yes
S026 14907,Yes
S026 15009L,No
S026 15009L,No
S026 15009L,No
S026 15009L,No
S026 15009R,Yes
S026 15046,Yes
S026 15046,Yes
S027 09436,No
S027 10031,No
S027 10031,No
S027 10822,No
S027 10822,No
S027 11745,Yes
S027 11745,Yes
S027 21050,Yes
S027 21050,Yes
S027 21050,Yes
S027 21287,Yes
S027 21287,Yes
S027 21800,No
S027 22386,No
S027 22386,No
S027 23430,No
S029 01321,No
S029 01513,Yes
S029 02121,Yes
S029 02121,Yes
S029 02486,Yes
S029 02486,Yes
S029 04647,Yes
S029 06167,Yes
S029 06167,Yes
S029 06344,Yes
S029 06344,Yes
S029 06742,Yes
S029 06742,Yes
S030 00125,No
S030 00591,No
S030 00920,No
S030 00938,No
S030 01221,No
S030 01816,No
S030 01931,No
S030 01931,No
S030 03162,No
S030 03162,No
S030 03703,No
S030 03981,Yes
S030 04044,No
S030 04044,No
S030 04184,Yes
S030 04184,Yes
S030 04184,Yes
S030 04410,No
S030 04505,No
S030 04705,No
S030 05011,No
S030 05445,Yes
S030 05445,Yes
S030 05806,Yes
S030 05983,No
S030 06096,Yes
S030 06096,Yes
S030 06127,Yes
S030 06127,Yes
S030 06360,Yes
S030 06360,Yes
S030 06360,Yes
S030 06360,Yes
S030 06360,Yes
S030 06360,Yes
S030 06508,No
S030 06508,No
S030 06508,No
S030 06644,Yes
S030 06644,Yes
S030 06939,Yes
S030 06939,Yes
S030 07275,Yes
S030 07275,Yes
S030 07275,Yes
S030 07275,Yes
S030 07378,Yes
S030 07378,Yes
S030 07625,Yes
S030 07892,Yes
S030 07892,Yes
S030 08261,No
S030 08614,Yes
S030 08614,Yes
S030 08762,No
S030 08840,No
S030 09189,No
S030 09355,No
S030 09750,No
S030 09929,No
S030 10175,Yes
S030 10707,Yes
S030 11314,No
S030 11422,No
S030 11473,No
S030 11473,No
S030 11504,No
S030 11504,No
S030 11566,No
S030 11566,No
S030 11631,No
S030 11631,No
S030 11675R,No
S030 11735R,No
S030 11764,No
S030 11764,No
S030 11864,No
S030 11864,No
S030 11955,No
S030 11955,No
S030 12055,No
S030 12055,No
S030 12367,No
S030 12367,No
S030 12874,Yes
S030 12874,Yes
S030 13051,Yes
S030 13051,Yes
S030 13183,Yes
S030 13183,Yes
S030 13366,No
S030 13366,No
S030 13570,Yes
S030 13570,Yes
S030 14060,Yes
S030 14060,Yes
S030 14060,Yes
S030 14093,No
S030 14907,No
S030 14907,No
S030 15250,No
S030 15250,No
S030 16001,Yes
S030 16853,Yes
S030 17410,No
S030 17410,No
S030 17410,No
S030 17901,Yes
S030 18050,Yes
S030 18050,Yes
S030 18050,Yes
S030 18050,Yes
S030 18050,Yes
S030 18050,Yes
S030 18290,No
S030 18290,No
S030 19030,Yes
S030 19030,Yes
S030 19030,Yes
S030 19913,Yes
S030 19913,Yes
S030 20687,No
S030 21308,Yes
S030 21308,Yes
S030 21402,No
S030 21402,No
S030 21670,Yes
S030 21670,Yes
S030 21764,Yes
S030 21764,Yes
S030 21939,No
S030 22321,No
S030 22321,No
S030 22428,No
S030 22428,No
S030 22620,Yes
S030 22620,Yes
S030 23635,Yes
S030 23635,Yes
S030 24078,Yes
S030 24078,Yes
S030 24078,Yes
S030 24616,No
S030 24946,No
S030 25054,Yes
S030 25054,Yes
S030 25054,Yes
S030 25054,Yes
S030 25087,No
S030 25164,No
S030 25211,No
S030 25446,No
S030 25523,No
S030 25567,No
S030 25617,Yes
S030 25617,Yes
S030 25617,Yes
S030 25697,No
S030 25933,Yes
S030 25933,Yes
S030 25933,Yes
S030 26024,Yes
S030 26024,Yes
S030 26024,Yes
S030 26161,Yes
S030 26161,Yes
S030 26161,Yes
S030 26161,Yes
S030 27198,No
S030 28396,Yes
S030 30399,Yes
S030 30566,Yes
S030 30566,Yes
S030 30566,Yes
S030 31293,Yes
S030 31293,Yes
S030 31293,Yes
S030 31379,No
S030 31379,No
S030 31389,Yes
S030 31389,Yes
S030 31389,Yes
S030 31593L,No
S030 31593R,No
S030 31761A,Yes
S030 31827,Yes
S030 31878,Yes
S030 33869,No
S030 33869,No
S030 35969,No
S030 35969,No
S030 36379,Yes
S030 36379,Yes
S030 36547,Yes
S030 36547,Yes
S030 37773L,Yes
S030 37773L,Yes
S030 37773L,Yes
S030 37773L,Yes
S030 37773L,Yes
S030 37773L,Yes
S030 37773R,Yes
S030 37773R,Yes
S030 37773R,Yes
S030 37787,No
S030 37787,No
S030 37787,No
S030 37847,Yes
S030 38374L,No
S030 38374R,No
S030 39442,Yes
S030 39731,Yes
S030 39769,Yes
S030 39774,No
S030 40004,Yes
S030 40004,Yes
S030 40004,Yes
S030 40704,No
S030 40704,No
S030 40704,No
S030 40704,No
S030 41681,No
S030 41681,No
S030 41681,No
S030 41681,No
S030 41681,No
S030 41681,No
S030 42074,No
S030 42485,Yes
S030 42580L,Yes
S030 42580R,Yes
S030 42623L,Yes
S030 42623R,No
S030 42623R,No
S030 42628L,Yes
S030 42628R,No
S030 42866,Yes
S030 43035,No
S030 43035,No
S030 43253,Yes
S030 43253,Yes
S030 43398,Yes
S030 43960,Yes
S030 43972,Yes
S030 43999,Yes
S030 43999,Yes
S030 44094,Yes
S030 44094,Yes
S030 44094,Yes
S030 44173,Yes
S030 44173,Yes
S030 44173,Yes
S030 44226,Yes
S030 44226,Yes
S030 44226,Yes
S030 44337,Yes
S030 44337,Yes
S030 44337,Yes
S030 44390,Yes
S030 44778,No
S030 44926,Yes
S030 44939,Yes
S030 44940,No
S030 45020,No
S030 45020L,No
S030 45055,No
S031 00616,No
S031 00616,No
S031 00805,No
S031 00805,No
S031 02440,Yes
S031 02440,Yes
S031 02440,Yes
S031 02440,Yes
S031 02440,Yes
S031 02963,No
S031 03175,Yes
S031 03175,Yes
S031 03175,Yes
S031 03634,Yes
S031 03634,Yes
S031 03634,Yes
S031 03634,Yes
S032 01118,No
S032 01167,No
S032 01167,No
S032 01178,No
S032 01178,No
S032 01233,No
S032 01693,No
S032 01885,No
S032 02518,No
S032 03071,No
S032 03409,Yes
S032 03409,Yes
S032 03409,Yes
S032 03673,Yes
S032 03690,Yes
S032 03971,Yes
S032 04646,No
S032 04871,No
S032 05543,No
S032 06153,No
S032 06215,No
S032 06541,Yes
S032 06541,Yes
S032 06541,Yes
S032 06925,No
S032 06946,No
S032 07096,Yes
S032 07096,Yes
S032 07188,Yes
S032 07188,Yes
S032 07316,Yes
S032 07766,Yes
S032 08050,Yes
S032 08206,No
S032 08479,No
S032 08479,No
S032 08636,Yes
S032 08636,Yes
S032 08636,Yes
S032 08636,Yes
S032 08636,Yes
S032 08646,Yes
S032 08646,Yes
S032 08669,Yes
S032 08685,Yes
S032 08711,Yes
S032 09024,No
S032 09158,No
S032 09158,No
S032 09227,No
S032 09227,No
S032 09289,No
S032 09289,No
S032 10131,No
S032 10131,No
S032 10147,Yes
S032 10147,Yes
S033 00866,Yes
S033 00866,Yes
S033 00866,Yes
S033 00916,Yes
S033 00916,Yes
S033 00916,Yes
S033 01026,Yes
S033 01026,Yes
S033 01026,Yes
S033 01026,Yes
S033 01026,Yes
S033 01360,No
S033 01360,No
S033 02007,No
S033 02007,No
S033 02007,No
S033 02366,No
S033 02366,No
S033 02366,No
S033 02530,Yes
S033 02537,Yes
S034 00068,No
S034 00513,Yes
S034 00513,Yes
S034 00513,Yes
S034 00631,Yes
S034 00631,Yes
S034 00631,Yes
S034 00631,Yes
S034 01024,No
S034 01024,No
S034 01160,No
S034 01317,No
S034 01743,No
S034 01743,No
S034 01998,No
S034 01998,No
S034 02081,No
S034 02081,No
S034 02176,No
S034 02176,No
S034 02274,No
S034 02274,No
S034 02922,No
S034 02922,No
S034 02976,No
S034 02976,No
S034 03464,No
S034 03464,No
S034 03505,No
S034 03505,No
S034 03505,No
S034 03595,No
S034 03595,No
S034 03737,No
S034 03737,No
S034 03867,No
S034 03867,No
S034 04157,No
S034 04157,No
S034 04447,No
S034 04447,No
S034 04512,No
S034 04512,No
S034 04610,No
S034 04610,No
S034 04817,No
S034 04817,No
S034 04817,No
S034 04942,No
S034 05201,Yes
S034 05201,Yes
S034 05201,Yes
S034 05434,Yes
S034 05434,Yes
S034 05434,Yes
S034 05605,Yes
S034 05605,Yes
S034 05605,Yes
S034 05854,No
S034 05854,No
S034 06035,No
S034 06035,No
S034 06346,No
S034 06346,No
S034 20967,Yes
S034 20967,Yes
S034 21117,Yes
S034 21117,Yes
S034 21190,No
S034 21307,No
S034 21606,No
S034 22521L,Yes
S034 22521L,Yes
S034 22521L,Yes
S034 22521L,Yes
S034 22521R,Yes
S034 22521R,Yes
S034 22521R,Yes
S034 22521R,Yes
S034 22572L,Yes
S034 22572L,Yes
S034 22572R,Yes
S034 22572R,Yes
S034 22572R,Yes
S034 22572R,Yes
S034 22610,Yes
S034 22610,Yes
S034 22610,Yes
S034 22610,Yes
S034 22610,Yes
S034 22682L,Yes
S034 22682L,Yes
S034 22682L,Yes
S034 22682L,Yes
S034 22682R,Yes
S034 22682R,Yes
S034 22682R,Yes
S034 22682R,Yes
S034 22682R,Yes
S034 22706L,No
S034 22706L,No
S034 22706L,No
S034 22706L,No
S034 22706R,Yes
S034 22706R,Yes
S034 22706R,Yes
S034 22706R,Yes
S034 22706R,Yes
S034 23023,Yes
S034 23023,Yes
S034 23023,Yes
S034 23023,Yes
S034 23023,Yes
S034 23055L,Yes
S034 23055L,Yes
S034 23055L,Yes
S034 23055R,Yes
S034 23055R,Yes
S034 23055R,Yes
S034 23055R,Yes
S034 23185,Yes
S034 23185,Yes
S034 23185,Yes
S034 23201,No
S034 23201,No
S034 23671,Yes
S034 23671,Yes
S034 23671,Yes
S034 23671,Yes
S034 23960,Yes
S034 24190,Yes
S034 24190,Yes
S034 24190,Yes
S034 24779,Yes
S034 25214,Yes
S034 25295,Yes
S034 26766,Yes
S034 26766,Yes
S034 26843,Yes
S034 26887,Yes
S034 26887,Yes
S034 29867,No
S034 29867,No
S034 29867,No
S034 29918,Yes
S034 29918,Yes
S034 29918,Yes
S034 29918,Yes
S034 30052,Yes
S034 30068,Yes
S034 30235,No
S034 30235,No
S034 30235,No
S034 30754,Yes
S034 30754,Yes
S034 31012,No
S034 31012,No
S034 31233R,No
S034 31430,Yes
S034 31430,Yes
S034 31430,Yes
S034 31644,No
S034 31644,No
S034 31644,No
S034 31752,Yes
S034 31794,Yes
S034 31845L,Yes
S034 31845L,Yes
S034 31845L,Yes
S034 31845L,Yes
S034 31845L,Yes
S034 31845R,Yes
S034 31845R,Yes
S034 31845R,Yes
S034 31845R,Yes
S034 31845R,Yes
S034 32925,No
S034 32945,No
S034 32945,No
S034 32945,No
S034 33251,No
S034 33251,No
S034 34522,No
S034 34522,No
S034 34577,Yes
S034 34577,Yes
S034 34577,Yes
S034 35011,Yes
S034 35011,Yes
S034 35011,Yes
S034 36465,No
S034 36539,No
S034 36557,No
S034 37299,No
S034 37299,No
S034 37299,No
S034 37742,No
S034 38208,Yes
S034 38208,Yes
S034 38577,Yes
S035 00080,Yes
S035 00080,Yes
S035 00139,Yes
S035 00139,Yes
S035 00373,Yes
S035 00493,No
S035 00869,Yes
S035 00869,Yes
S035 01214,Yes
S035 01339,Yes
S035 01729,Yes
S035 02068,Yes
S035 02068,Yes
S035 02119,Yes
S035 02119,Yes
S035 02181,No
S035 02476,No
S035 02697,Yes
S035 02714,No
S035 03024A,Yes
S035 03045A,Yes
S035 03051A,Yes
S035 03063A,Yes
S035 03069A,Yes
S035 03104A,Yes
S035 03112,Yes
S035 03148,Yes
S035 03565,Yes
S035 03772,No
S035 03772,No
S035 04053,Yes
S035 04053,Yes
S035 04053,Yes
S035 04053,Yes
S035 05025,No
S035 05177,No
S035 05177,No
S035 05800,Yes
S035 05823,No
S035 05823,No
S035 05988,Yes
S035 05988,Yes
S035 06246,No
S036 00429,Yes
S036 00429,Yes
S036 00429,Yes
S036 00535,Yes
S036 00585,Yes
S036 00585,Yes
S036 00585,Yes
S036 00657,Yes
S036 00657,Yes
S036 00657,Yes
S036 00668,Yes
S036 00668,Yes
S036 00668,Yes
S036 01281,Yes
S036 01281,Yes
S036 01281,Yes
S036 01806,No
S036 01806,No
S036 02040L,No
S036 02040L,No
S036 02040R,Yes
S036 02040R,Yes
S036 02040R,Yes
S039 00557,Yes
S039 00705,Yes
S039 00711,No
S039 00711,No
S039 00719,No
S039 00719,No
S039 00893,Yes
S039 00893,Yes
S039 00893,Yes
S039 01099,Yes
S039 01099,Yes
S039 01099,Yes
S039 01792,Yes
S039 01792,Yes
S039 01792,Yes
S039 01792,Yes
S039 01792,Yes
S039 01830,Yes
S039 01830,Yes
S039 01830,Yes
S039 01830,Yes
S039 02334,No
S039 02334,No
S039 02373,No
S039 02373,No
S039 02905,Yes
S039 02905,Yes
S039 02905,Yes
S039 03212,Yes
S039 03212,Yes
S039 03222,No
S039 03671,No
S039 03671,No
S039 03901,No
S039 04076,No
S039 04076,No
S039 04119,No
S040 00061,No
S040 00061,No
S040 00265,Yes
S040 00265,Yes
S040 00265,Yes
S040 00504,Yes
S040 02013,Yes
S040 02013,Yes
S040 02126,No
S040 02433,No
S040 02433,No
S040 02671,Yes
S040 02671,Yes
S040 02787,Yes
S040 02787,Yes
S040 03215,Yes
S040 03215,Yes
S040 03272,Yes
S040 03272,Yes
S040 03540,Yes
S040 03540,Yes
S040 03619,Yes
S040 03619,Yes
S040 03647,Yes
S040 03647,Yes
S040 03926,Yes
S040 03926,Yes
S040 04395,Yes
S040 04395,Yes
S040 05190,No
S040 05396,Yes
S040 05396,Yes
S040 05629,No
S040 05701,No
S040 05953,Yes
S040 05953,Yes
S040 06101,Yes
S040 06101,Yes
S040 06199,Yes
S040 06199,Yes
S040 06314,Yes
S040 06314,Yes
S040 06642,Yes
S040 06642,Yes
S040 06642,Yes
S040 06686,No
S040 06686,No
S040 06841,Yes
S040 06841,Yes
S040 07115,Yes
S040 07244,Yes
S040 07244,Yes
S040 07244,Yes
S040 07447,No
S040 07447,No
S040 07686,No
S040 07686,No
S040 07765,No
S040 07815,No
S040 07867,No
S040 07935,Yes
S040 08132,No
S040 08132,No
S040 08175,No
S040 08284,No
S040 08453,No
S041 00082,No
S041 01823,No
S041 01907,No
S041 02213,No
S041 02468,No
S041 02468,No
S041 03376,Yes
S041 03376,Yes
S041 03654,No
S041 04045,No
S041 04248,Yes
S041 04248,Yes
S041 04912,Yes
S041 04912,Yes
S041 04912,Yes
S041 05764,Yes
S041 05764,Yes
S041 05764,Yes
S041 05764,Yes
S041 06006,No
S041 06133,Yes
S041 06162,Yes
S041 06488,Yes
S041 06488,Yes
S041 06731,Yes
S041 06731,Yes
S041 07208,Yes
S041 07208,Yes
S041 07520,No
S041 07520,No
S041 07590,No
S041 07590,No
S041 07888,No
S041 07888,No
S041 08345,No
S041 08345,No
S041 08450,No
S041 08450,No
S041 08498,No
S041 08498,No
S041 08540,No
S041 08960,No
S041 09040,Yes
S041 09040,Yes
S041 09123,No
S041 09234,No
S041 09307,No
S041 09307,No
S041 09441,No
S041 09548,No
S041 09675,No
S041 09675,No
S041 09688,No
S041 09688,No
S043 00414,No
S043 00511,No
S043 01211,No
S043 01441,Yes
S043 01441,Yes
S043 01460,Yes
S043 01460,Yes
S043 02241,Yes
S043 02241,Yes
S043 02328,No
S043 02621,No
S043 02621,No
S044 02050,Yes
S044 02050,Yes
S044 02725,Yes
S044 02725,Yes
S044 04063,Yes
S044 04063,Yes
S044 04063,Yes
S044 04381,Yes
S044 04381,Yes
S044 04856,Yes
S044 04856,Yes
S044 04983L,Yes
S044 04983L,Yes
S044 04983L,Yes
S044 04983R,Yes
S044 04983R,Yes
S044 04983R,Yes
S044 05113,Yes
S044 05113,Yes
S044 05113,Yes
S045 00360,Yes
S045 00360,Yes
S045 00394,No
S045 00394,No
S045 00444,Yes
S045 00444,Yes
S045 00552,No
S045 02191L,No
S046 00575,No
S046 00645,No
S046 00685,No
S046 00685,No
S046 00919,No
S046 00919,No
S047 01247,No
S047 01247,No
S047 01247,No
S047 01247,No
S047 04922,Yes
S047 05010,No
S047 05395,No
S047 05499,No
S047 05728,No
S047 05728,No
S047 05757,Yes
S047 05757,Yes
S047 05814,Yes
S047 05814,Yes
S047 06149,Yes
S047 06149,Yes
S047 06222,No
S047 06230,No
S047 06277,No
S047 06277,No
S047 06288,No
S047 06804,No
S047 06804,No
S050 00028,No
S050 00179,No
S050 02505,Yes
S050 02617,Yes
S050 03049,Yes
S050 03135,Yes
S050 03135,Yes
S050 03168,Yes
S050 03929,Yes
S050 04149,Yes
S050 04168,No
S050 04549,Yes
S050 04571,Yes
S050 04902,Yes
S050 05049,Yes
S050 05323,Yes
S050 05428,Yes
S050 05428,Yes
S050 05428,Yes
S050 05428,Yes
S050 05428,Yes
S050 05821,Yes
S050 05821,Yes
S050 05821,Yes
S050 05821,Yes
S050 05900,Yes
S050 05900,Yes
S050 05900,Yes
S050 05900,Yes
S050 05900,Yes
S050 06330,Yes
S050 06330,Yes
S050 06330,Yes
S050 06686,Yes
S050 06775,No
S050 06775,No
S050 06775,No
S050 07611,Yes
S050 07611,Yes
S050 07611,Yes
S050 07611,Yes
S050 07611,Yes
S050 07611,Yes
S050 07665,Yes
S050 07665,Yes
S050 07686,No
S050 07712,Yes
S050 07712,Yes
S050 07970,Yes
S050 07970,Yes
S050 07970,Yes
S050 08090,No
S050 08376,Yes
S050 08596,Yes
S050 08662,Yes
S050 08894,Yes
S050 09127,No
S050 09127,No
S050 09127,No
S050 09127,No
S051 00251,Yes
S051 00251,Yes
S051 00473,Yes
S051 00473,Yes
S051 00598,Yes
S051 00598,Yes
S051 00613,No
S051 00853,No
S051 01053,No
S051 01104,Yes
S051 01104,Yes
S051 01469,No
S051 02305,Yes
S051 02305,Yes
S051 02305,Yes
S051 02576,No
S051 02815,Yes
S051 02824,No
S051 02824,No
S051 02824,No
S051 03644,No
S052 00225,No
S052 00592,No
S052 00739,No
S052 00739,No
S052 00739,No
S052 01038,No
S052 01328,Yes
S052 01328,Yes
S052 01424,No
S052 01444,No
S052 01444,No
S052 01511,No
S052 01846,Yes
S052 01846,Yes
S052 02131,No
S052 02524,No
S052 02524,No
S052 02635,Yes
S052 02635,Yes
S052 02635,Yes
S053 00412,No
S053 00610,No
S053 00649,No
S056 00039,Yes
S056 00039,Yes
S056 00213,No
S056 00394,Yes
S056 00394,Yes
S056 00503,Yes
S056 00503,Yes
S056 01033,No
S056 01482,Yes
S056 02857,Yes
S056 02857,Yes
S056 02883,No
S056 03206R,No
S056 03349,No
S056 03349,No
S057 00544,No
S057 00859,No
S057 00859,No
S057 01185,Yes
S057 01185,Yes
S057 01185,Yes
S057 01185,Yes
S057 01185,Yes
S057 01530,Yes
S057 01530,Yes
S057 01530,Yes
S057 01566,Yes
S057 01566,Yes
S057 01566,Yes
S057 01566,Yes
S057 01566,Yes
S057 01566,Yes
S057 01566,Yes
S057 03867,Yes
S057 03867,Yes
S057 03867,Yes
S057 04075,No
S057 04075,No
S057 04297,No
S057 04732,No
S057 05119,Yes
S057 05260,Yes
S057 05496,No
S057 05496,No
S057 05832,No
S057 05888,No
S057 06092,No
S057 06140,No
S057 06219,No
S057 06259,No
S057 06312,No
S057 06460,No
S057 06507,No
S057 06733,Yes
S057 07107A,Yes
S057 07119R,Yes
S057 07143R,Yes
S057 07256,Yes
S057 07256,Yes
S057 07256,Yes
S057 07309,No
S057 07369R,Yes
S058 00737,No
S058 00737,No
S058 00876,Yes
S058 00876,Yes
S058 00994,Yes
S058 01858,Yes
S058 02051,Yes
S058 02322,Yes
S058 02322,Yes
S058 02455,Yes
S058 02455,Yes
S058 02628,Yes
S058 02628,Yes
S058 02790,Yes
S058 02790,Yes
S058 03521,No
S058 03954,Yes
S058 03954,Yes
S058 04085,Yes
S058 04085,Yes
S058 04151,Yes
S058 04151,Yes
S058 04380,Yes
S058 04380,Yes
S058 04380,Yes
S058 04637,No
S058 04861,No
S059 00448,No
S059 00693,No
S059 00693,No
S059 01933,No
S059 02092,No
S059 02092,No
S059 02408,No
S059 02408,No
S059 02508,No
S059 04212,No
S059 04555,No
S061 00053,No
S061 01192,Yes
S061 04623,Yes
S061 04623,Yes
S061 04648,Yes
S061 04648,Yes
S061 09951,Yes
S061 21751,Yes
S061 22259,No
S061 22575,No
S062 00022,No
S062 00022,No
S062 00293,No
S062 00377,No
S062 00437,Yes
S062 00437,Yes
S062 00820,No
S062 02170,No
S062 02170,No
S062 02429,No
S062 02429,No
S062 02444,No
S063 00665,Yes
S063 00814,No
S063 01270,Yes
S063 01270,Yes
S063 01270,Yes
S064 00346,Yes
S064 00346,Yes
S064 00346,Yes
S064 00525,Yes
S064 00525,Yes
S064 00525,Yes
S064 00746,Yes
S064 00746,Yes
S064 00863,Yes
S064 00863,Yes
S064 00863,Yes
S064 00997,Yes
S064 01148,Yes
S064 01148,Yes
S064 05276,Yes
S064 05295,Yes
S064 05319,Yes
S064 05319,Yes
S064 05319,Yes
S064 05561,Yes
S064 05635,Yes
S064 06033,Yes
S064 06033,Yes
S064 06033,Yes
S064 06054,No
S064 06064,No
S064 06125,No
S064 06169,No
S064 06616,No
S064 06616,No
S064 06616L,No
S064 06616R,No
S064 06616R,No
S064 07011L,Yes
S064 07011L,Yes
S064 07011L,Yes
S064 07011L,Yes
S064 07011L,Yes
S064 07011R,Yes
S064 07011R,Yes
S064 07011R,Yes
S064 07280,No
S064 07280,No
S064 07348,No
S064 07384,No
S064 07451,No
S064 07536,No
S064 07686,No
S064 07824,No
S065 00173,No
S065 00371,No
S065 00371,No
S065 00477,No
S065 00715,No
S065 01300,Yes
S065 01300,Yes
S066 01821,Yes
S066 01944,Yes
S066 01944,Yes
S066 04814,No
S066 04916,No
S066 04916,No
S066 05348,Yes
S066 05348,Yes
S066 05348,Yes
S066 05451,Yes
S066 05451,Yes
S066 06060,Yes
S066 06060,Yes
S066 07752,Yes
S066 07845,Yes
S066 08078,Yes
S066 08078,Yes
S066 08105,Yes
S066 08105,Yes
S066 08105,Yes
S066 08105,Yes
S066 08127,Yes
S066 08270,Yes
S066 09308,No
S066 09574,Yes
S066 09574,Yes
S066 09607,Yes
S066 09607,Yes
S066 09743,Yes
S066 09743,Yes
S066 10277,Yes
S066 10467,Yes
S066 10467,Yes
S066 10571,Yes
S066 10571,Yes
S066 10837,Yes
S066 10837,Yes
S066 11386,No
S066 11936,Yes
S066 12185,Yes
S066 12231,No
S066 12487,Yes
S067 01234,Yes
S067 02402,No
S067 03578,No
S067 03578,No
S067 03661,Yes
S067 03661,Yes
S067 03818,No
S067 03818,No
S067 03886,No
S067 03886,No
S067 03921,No
S067 03943,No
S067 03943,No
S067 03943,No
S067 03968,No
S067 03968,No
S067 04111,No
S067 04111,No
S067 04304,No
S067 04304,No
S067 04477,Yes
S067 04542,Yes
S067 04669,No
S067 04771,Yes
S067 05206,No
S067 05312,No
S067 05804,Yes
S067 06140,No
S067 06587,No
S068 00017,No
S068 00017,No
S068 00044,Yes
S068 00273,No
S068 00507,No
S068 01076,No
S069 06069,Yes
S069 06069,Yes
S069 06914,No
S069 06914,No
S069 07226,Yes
S069 07226,Yes
S070 07524,No
S070 07561,No
S070 07855,No
S070 07962,No
S070 07962,No
S070 08365,No
S070 08893,Yes
S070 08893,Yes
S070 08922,Yes
S070 08922,Yes
S070 09081,No
S070 09096,No
S070 09177,No
S070 09278,No
S070 09847,No
S070 10107,No
S070 10197,Yes
S070 10197,Yes
S070 10211,No
S070 10265,No
S070 10392,No
S070 10755,Yes
S070 10755,Yes
S070 12357,No
S070 12559,No
S070 12984,No
S070 13075,No
S070 13075,No
S070 14495,No
S070 14495,No
S070 16746,No
S070 16864,No
S070 19017,Yes
S071 00049,No
S071 00459,No
S071 00937,No
S071 01164,Yes
S071 01164,Yes
S071 01617,Yes
S071 01650,Yes
S071 01668L,Yes
S071 01668R,Yes
S071 01679,No
S071 01743,Yes
S071 01743,Yes
S071 01743,Yes
S071 01761L,Yes
S071 01761R,Yes
S071 01807,No
S071 02204L,Yes
S071 02204R,No
S071 02267,Yes
S071 02267,Yes
S071 02267,Yes
S071 02827,No
S071 03072,Yes
S071 03072,Yes
S071 03137,Yes
S071 03137,Yes
S071 03137,Yes
S071 03309,Yes
S071 03309,Yes
S071 03987,Yes
S071 03987,Yes
S071 03987,Yes
S071 04315,No
S071 04315L,Yes
S071 04315R,Yes
S071 04315R,Yes
S071 04512,No
S071 04512L,Yes
S071 04512R,Yes
S071 04512R,Yes
S071 04719,Yes
S071 04719,Yes
S071 04719,Yes
S071 05185,No
S071 05298,Yes
S071 05298,Yes
S071 05511L,No
S071 05511R,Yes
S071 05511R,Yes
S071 05511R,Yes
S071 05511R,Yes
S071 05587,Yes
S071 05587,Yes
S071 05587A,Yes
S071 05610,Yes
S071 05745,Yes
S071 05850L,Yes
S071 05850L,Yes
S071 05850R,Yes
S071 05865,Yes
S071 05911L,Yes
S071 05911R,Yes
S071 06050L,Yes
S071 06050R,Yes
S071 06113L,Yes
S071 06113R,Yes
S071 06165,Yes
S071 06544,No
S071 06544,No
S071 06747,No
S071 06747,No
